ἆ|ah!
ἀγέλοιος|not laughable
ἀγέμιστος|not put on board ship
ἁγεμονεύω|lead the way
ἁγεμών|leader, lord
ἀγενεαλόγητος|of unrecorded descent
ἀγένεια|low birth
ἀγένειος|beardless
ἀγενής|unborn, uncreated
ἀγενησία|uncreatedness
ἀγένητος|unborn, uncreated, unoriginated
ἀγέννεια|meanness, baseness
ἀγεννής|of no family, low-born
ἀγεννησία|uncreatedness
ἀγέννητος|unbegotten, unborn
ἀγεννίζω|act like an ἀγεννής
ἁγέομαι|custom, prescription
ἀγέραστος|without a gift of honour, unrecompensed, unrewarded
ἀγερμός|collection of money for the service of the gods
ἀγερσικύβηλις|mendicant priest
ἄγερσις|a gathering, mustering
ἀγέρτης|collector of dues
ἀγερωχία|arrogance
ἀγέρωχος|high-minded, lordly
Ἀγεσίλαος|[> Ἀγησίλαος]
Ἀγεσίλας|[> Ἀγησίλαος]
ἀγέστρατος|host-leading
ἀγευστία|fasting
ἄγευστος|without taste of, fasting from
ἀγεωμέτρητος|ignorant of geometry
ἀγεωργησία|bad husbandry
ἀγεώργητος|uncultivated
ἀγεωργίον|for neglect of tillage
ἀγή|a fragment, piece, splinter
ἄγη|wonder, awe, amazement
ἀγή2|[transport]
ἀγηθής|joyless
ἀγήλατος|driving out a curse
ἄγημα|anything led, a division
ἀγηνορέω|to be valiant
ἀγηνορία|manliness, manhood, courage
ἀγηνορίη|manliness, valor;
ἀγήνωρ|manly, courageous, heroic
ἀγήραος|not waxing old, undecaying
ἀγηρασία|eternal youth
ἀγήρατον|pot-marjoram, Origanum Onites
ἀγήρατος|ageless
ἀγήρατος2|stone
ἁγής|[guilty], pure
Ἀγήσανδρος|epithet of Pluto
ἀγησίχορος|leading the chorus
ἁγητήρ|leader, lord
ἀγητός|admirable, wondrous
Ἀγήτωρ|Leader
ἁγίασμα|holiness
ἁγιασμός|consecration, sanctification
ἁγιαστήριον|holy place, sanctuary
ἀγίγαρτος|without seed
ἁγίζω|to hallow, dedicate
ἀγινέω|to lead, bring, carry
ἁγιολόγος|speaking holy things
ἁγιοποιέω|sanctify
ἅγιος|devoted to the gods, sacred, holy
ἁγιότης|holiness
ἁγισμός|offering to the dead
ἁγιστεία|holy rites, temple-worship
ἁγίστευμα|sanctuary
ἁγιστεύω|to perform sacred rites
ἁγιστός|hallowed
ἁγιστύς|ceremony
ἁγιώδως|in sacred manner:
ἁγιωσύνη|holiness, sanctity
ἀγκάζομαι|to lift up in the arms
ἄγκαθεν|in the arms
ἀγκάλη|the bent arm
ἀγκαλιδαγωγέω|carry a bundle
ἀγκαλιδαγωγός|carrying an armful
ἀγκαλίδη|arm (usu. pl.)
ἀγκαλίζομαι|to embrace
ἀγκαλῖναι|arms
ἀγκαλίς|arm (usu. pl.)
ἀγκάλισμα|that which is embraced
ἀγκαλισμός|making
ἄγκαλος|an armful, bundle
ἀγκάς|in the arms
ἀγκιστρεία|angling
ἀγκιστρευτικός|of or for angling
ἀγκιστρεύω|angle for, entice
ἀγκίστριον|a fish-hook
ἀγκιστρόδετος|with a hook
ἀγκιστροειδής|hook-shaped, barbed
ἄγκιστρον|a fish-hook
ἀγκιστρόομαι|to be furnished with barbs
ἀγκιστροπώλης|seller of fish-hooks
ἀγκιστροφάγος|biting the hook
ἀγκιστρωτός|barbed
ἀγκλάριον|reapportionment
ἄγκοινα|the bent arm; metaph. for anything enfolding
ἀγκοίνη|the bent arm; see ἄγκοινα
ἄγκος|a bend
ἀγκτήρ|instrument for closing wounds
ἀγκυλένδετος|bound with thongs
ἀγκυλέομαι|hurl like a javelin
ἀγκύλη|a loop
ἀγκυλητός|thrown from the bent arm
ἀγκυλιδωτός|having a loop for a handle
ἀγκυλίζομαι|clasp the adversary's neck
ἀγκύλιον|ancilia
ἀγκυλίς|hook, barb
ἀγκύλλω|bend back
ἀγκυλοβλέφαρον|adhesion of the eyelids
ἀγκυλόγλωσσον|contraction of the tongue
ἀγκυλογλώχιν|with hooked spurs
ἀγκυλόδειρος|crooknecked
ἀγκυλόδους|crook-toothed: barbed
ἀγκυλοειδής|winding
ἀγκυλοκοπέω|hamstring
ἀγκυλόκυκλος|curved in spires
ἀγκυλόκωλος|crook-limbed
ἀγκυλομαχία|contest with javelin
ἀγκυλομήτης|crooked of counsel, wily
ἀγκυλόπους|with bent legs
ἀγκύλος|crooked, curved
ἀγκυλότοξος|with curved bow
ἀγκυλοχείλης|with hooked beak
ἀγκυλοχήλης|with crooked claws
ἀγκυλόω|to crook, bend
ἀγκύλωμα|loop
ἀγκύλωσις|tongue-tie
ἀγκυλωτός|furnished with a thong
ἄγκυρα|anchor
ἀγκυρίζω|to throw by the hook-trick
ἀγκύριον|a small anchor; pl. also anchor cables
ἀγκύρισμα|hook
ἀγκυρίτης|anchor-stone
ἀγκυροβολέω|secure by throwing an anchor: hook fast in, fasten securely
ἀγκυροβόλιον|anchorage
ἀγκυροειδής|anchor-shaped
ἀγκυρομήλη|hooked probe
ἀγκυρουχία|a holding by the anchor
ἀγκυρωτός|bent like an anchor
ἀγκών|the bend of the arm, the elbow
ἀγκωνίζω|recline at table
ἀγκώνιον|elbow
ἀγκωνισμός|a bending, reach
ἀγκωνόδεσμος|cubital
ἀγκωνοειδής|curve-shaped, curved
ἀγλαέθειρος|bright-haired
ἀγλαΐα|splendour, beauty
ἀγλαΐζομαι|adorn oneself with
ἀγλαΐζω|to make splendid, glorify
ἀγλαΐη|splendor, brilliancy;
ἀγλάϊσμα|ornament, honour
ἀγλαϊσμός|adorning, ornament
ἀγλαϊστός|adorned
ἀγλαόβοτρυς|with splendid bunches
ἀγλαόγυιος|with beauteous limbs
ἀγλαόδενδρος|with beautiful trees
ἀγλαόδωρος|giving splendid gifts
ἀγλαοεργός|ennobled by works
ἀγλαόθρονος|with splendid throne, bright-throned
ἀγλαόθυμος|noble-hearted
ἀγλαόκαρπος|bearing beautiful
ἀγλαόκουρος|rich in fair youths
ἀγλαόκωμος|giving splendour to the feast
ἀγλαομειδής|brightly smiling
ἀγλαόμητις|of rare wisdom
ἀγλαομορφέω|to be endowed with beauteous form
ἀγλαόμορφος|of beauteous form
ἀγλαόπαις|rich in fair children
ἀγλαόπεπλος|beautifully veiled
ἀγλαόπηχυς|with beautiful arms
ἀγλαόπιστος|splendidly faithful
ἀγλαοποιέω|make famous
ἀγλαός|splendid, shining, bright, beautiful
ἀγλαότιμος|splendidly honoured
ἀγλαοτρίαινα|he of the bright trident
ἀγλαοφεγγής|splendidly shining
ἀγλαόφημος|of splendid fame
ἀγλαόφοιτος|one who 'walks in beauty'
ἀγλαόφορτος|proud of one's burden
ἀγλαόφωνος|with a splendid voice
ἀγλαοφῶτις|peony
ἀγλαοχαίτας|with splendid hair
ἀγλαόχαρτος|rejoicing in beauty
ἀγλαφύρως|without polish, inelegantly
ἀγλαώψ|bright-eyed, beaming
ἀγλευκής|not sweet, sour
ἄγλις|a head of garlic
ἄγλισχρος|not sticky
ἄγλυ|swan
ἄγλυφος|unhewn
ἀγλωσσία|want of eloquence
ἄγλωσσος|without tongue
ἄγμα|a fragment (DGE, LSJ; ML ἆγμα)
ἀγμός|a broken cliff, crag
ἀγναῖος|inflexible in war
ἄγναμπτος|unbending, inflexible
ἄγναπτος|not fulled
ἄγναφος|uncarded
ἁγνεία|purity, chastity
ἅγνευμα|chastity
ἁγνευτήριον|place of purification
ἁγνευτικός|inclined to chastity
ἁγνεύτρια|female purifier
ἁγνεύω|to consider as part of purity, make it a point of religion
ἁγνεών|place of purity
ἁγνίζω|to cleanse away
ἄγνινος|made of ἄγνος
ἅγνισμα|a purification, expiation
ἁγνισμός|purification, expiation
ἁγνιστέος|to be purified
ἁγνιστήριον|instrument of purification
ἁγνιστής|purifier
ἁγνίτης|purifier
ἀγνοέω|not to perceive, be ignorant of
ἀγνόημα|a fault of ignorance, error
ἀγνοηματίζω|fail to observe
ἀγνόησις|ignorance
ἀγνοητέον|one must not fail to remark
ἀγνοητικός|mistaken
ἀγνοητός|ignored
ἄγνοια|want of perception, ignorance
ἀγνοούντως|ignorantly
ἁγνοπολέομαι|to be purified by sacrifices
ἁγνοπόλος|making pure
ἁγνόρυτος|pure-flowing
ἄγνος|a willow-like tree
ἁγνός|full of religious awe
ἁγνόστομος|with pure mouth
ἁγνοτελής|worshipped in holy rites
ἁγνότης|purity, chastity
ἄγνυμι|to break, shiver
ἄγνυον|water-wheel
ἀγνύς|loom-weight
ἀγνωμονέω|to act without right feeling, act unfairly
ἀγνωμοσύνη|want of sense, folly
ἀγνώμων|ill-judging, senseless
ἀγνώριστος|unascertained, unknown
ἀγνώς|unknown, ignorant
ἀγνωσία|ignorance
ἀγνωστί|secretly, unperceived
ἄγνωστος|unknown
ἄγξις|throttling
ἀγόγγυστος|not murmuring
ἀγοήτευτος|not to be bewitched
ἀγόμφιος|without grinders
ἀγόνατος|without a knee
ἀγονέω|to be unfruitful
ἀγονία|unfruitfulness
ἄγονος|unborn, sterile
ἄγοος|unmourned
ἀγορά|an assembly of the people
ἀγοράζω|to be in the ἀγορά
ἀγοραῖος|in, of the market
ἀγορανομέω|to be clerk of the market
ἀγορανομία|office of ἀγορανόμος
ἀγορανομικός|of or for the clerk of the market
ἀγορανόμιον|court or office of the ἀγορανόμος
ἀγορανόμιος|of or in the forum
ἀγορανόμος|a clerk of the market
ἀγοράομαι|to meet in assembly, sit in debate
ἀγορασἀγένειος|will lounge in the agora without a beard
ἀγορασείω|wish to buy
ἀγορασία|purchase
ἀγόρασμα|that which is bought
ἀγορασμός|purchasing
ἀγοραστής|the slave who bought provisions for the house, the purveyor
ἀγοραστικός|of or for traffic, commercial
ἀγοραστός|bought, paid for
ἀγόρευσις|speech, oration
ἀγορευτήριον|place for speaking
ἀγορευτής|speaker
ἀγορεύω|to speak in the assembly, harangue, speak
ἀγορή|assembly
ἀγορηγός|ship which conveys provisions
ἀγορῆθεν|from the Assembly
ἀγορήνδε|to the Assembly
ἀγορητής|a speaker, orator
ἀγορήτης|[see -ητής]
ἀγορητύς|the gift of speaking, eloquence
ἀγορῆφι|in the Assembly
ἀγός|a leader, chief
ἄγος|pollution, expiation
ἄγος2|[fragment]
ἀγοστός|the flat of the hand
ἄγουρος|youth
ἄγρα|a catching, hunting
ἀγραῖος|of the chase
ἀγραμματία|illiteracy
ἀγράμματος|without learning
ἄγραμμος|not on the line
ἄγραπτος|unwritten
ἀγραυλέω|to dwell in the field
ἀγραυλής|in the fields, out of doors
ἀγραυλία|service in the field
ἄγραυλος|dwelling in the field
ἀγραφίου|action against state debtors who had their debts cancelled
ἄγραφος|unwritten
ἀγρειοσύνη|clownishness, a rude, vagrant life
ἀγρεῖφνα|a harrow, rake
ἀγρεμών|hunter
ἀγρετεύω|hold office of ἀγρέτας
ἀγρέτης|god of the fields
ἄγρευμα|that which is taken in hunting, booty, prey, spoil
ἀγρεύς|a hunter
Ἀγρεύς|the Hunter
ἀγρεύσιμος|easy to catch
ἄγρευσις|catching
ἀγρευτήρ|hunter
ἀγρευτής|a hunter
ἀγρευτικός|of, or skilled in, hunting
ἀγρευτός|caught
ἀγρεύω|to take by hunting
ἀγρέω|to capture, seize
ἄγρη|hunt, chase
ἄγρηθεν|from the chase
ἀγρηνόν|net
ἀγριαίνω|to be angered, provoked, chafed
ἀγριάνθρωπος|wild man, savage
ἀγριάς|wild
ἀγριαχράς|wild pear
ἀγριάω|to be savage
ἀγριελαία|wild olive
ἀγριελάινος|of wild olive
ἀγριέλαιος|of a wild olive
ἀγριεύω|catch by hunting
ἀγρίζω|inflame, irritate
ἀγριμαῖος|wild
ἀγριμέλισσα|wasp
ἀγριοαππίδιον|wild pear tree
ἀγριοβάλανος|evergreen oak, Quercus pseudo-coccifera
ἀγριόβουλος|wild of purpose
ἀγριοδαίτης|eating wild fruits
ἀγριόεις|maddening
ἀγριόθυμος|wild of temper
ἀγριοκάναβος|hemp-mallow, Althaea cannabina
ἀγριοκάρυον|cob-nut
ἀγριοκινάρα|carduus
ἀγριοκύμινον|wild cumin
ἀγριολάχανα|wild pot-herbs
ἀγριομέλιττα|wasp
ἀγριομυρίκη|tamarisk
ἀγριομύρμηξ|weevil
ἀγριόνους|fierce
ἀγριοπήγανον|Syrian rue
ἀγριοποιέω|to make wild
ἀγριοποιός|writing wild poetry
ἀγριόπρασον|serpyllum
ἀγριορίγανος|marjoram, Origanum viride
ἀγριόρροδον|saliuncula
ἄγριος|(living in the fields) wild, savage, harsh
ἀγριοσίκυον|squirting cucumber
ἀγριοσταφίδες|wild grapes
ἀγριοσταφυλίτης|made therefrom
ἀγριότης|wildness, savageness
ἀγριόφαγρος|wild
ἀγριοφανής|appearing wild
ἀγριόφυτα|wild herbs
ἀγριόφωνος|with wild rough voice
ἀγριόχοιρος|wild swine
ἀγριοψωρία|inveterate itch
ἀγριόω|to make wild
Ἀγριππιασταί|worshippersof Agrippa
ἄγριππος|wild olive
ἀγρίς|Valonia oak
ἀγρίτης|countryman
ἀγρίφη|harrow, rake
ἀγριώδης|of wild nature
ἀγριωπός|wild-looking
ἀγροβόας|rudely shouting
ἀγροβότης|feeding in the field, dwelling in the country
ἀγρογείτων|a country neighbour
ἀγροδίαιτος|living in the country
ἀγροδότης|a giver of booty
ἀγρόθεν|from the country
ἄγροθι|in the country
ἀγροικεύομαι|to be stupid
ἀγροικηρός|boorish
ἀγροικία|rusticity, boorishness, coarseness
ἀγροικίζομαι|to be rude and boorish
ἀγροικικός|rustic
ἀγροικοπυρρώνειος|rude, coarse Pyrrhonist
ἄγροικος|of or in the country, rustic; boorish, rude
ἀγροικόσοφος|with rude mother-wit
ἀγροικώδης|clownish, rude
ἀγροιώτης|a countryman
ἀγρόκηπος|field kept as garden
ἀγροκόμος|land-steward
ἀγρολέτειρα|waster of land
ἀγρομενής|dwelling in the country
ἀγρόνδε|to the country
ἀγρονόμος|haunting the country
ἀγρόνομος|affording open pasturage
ἀγροπόνος|tiller of the soil
ἀγρός|fields, lands
ἀγρότερος|wild
ἀγροτήρ|rustic
ἀγρότης|a country-man, rustic
ἀγροφύλαξ|a watcher of the country
ἄγρυκτος|not to be spoken of
ἀγρυπνέω|to lie awake, be wakeful
ἀγρυπνητέον|one must watch
ἀγρυπνητήρ|watcher
ἀγρυπνητής|excubitor
ἀγρυπνητικός|wakeful
ἀγρυπνία|sleeplessness, waking, watching
ἄγρυπνος|hunting after sleep
ἀγρυπνώδης|making sleepless
ἄγρωμα|right of hunting
ἄγρωσσα|huntress
ἀγρώσσω|to catch
ἀγρώστης|wild
ἄγρωστις|a grass that mules fed on
ἀγρώτης|wild
ἄγυια|street, highway
ἀγυιαῖος|with streets
ἀγυιάτης|inhabitant of a street; (pr.n.) epithet of Apollo
ἀγυιᾶτις|neighbor
Ἀγυιεύς|guardian of the streets; epithet of Apollo
ἀγυιοπλαστέω|to build in streets
ἄγυιος|without limbs, weak in limb
ἀγυμνασία|want of training
ἀγύμναστος|unexercised, untrained
ἀγύναιξ|wifeless
ἄγυρις|a gathering, crowd
ἀγυρισμός|collection
ἄγυρμα|anything collected
ἀγυρτάζω|to collect by begging
ἀγυρτεία|begging, imposture
ἀγυρτεύω|live by begging as a vagabond
ἀγύρτης|a collector
ἀγυρτικός|fit for an ἀγύρτης, vagabond
ἀγυρτός|got by begging
ἄγυψος|not clarified by gypsum
ἀγχάζω|retire
ἄγχαυρος|near the morning
ἀγχέμαχος|fighting hand to hand
ἀγχήρης|neighbouring
ἄγχι|near, nigh, close by
ἀγχίαλος|near the sea
ἀγχιβαθής|deep near shore
ἀγχιβατέω|stand by
ἀγχιβάτης|one that comes near
ἀγχίγαμος|near marriage
