accresco	to grow progressively, increase, become greater
accretio	an increase
accubitio	a lying, reclining
accubo	to lie at, lie beside
accumbo	to lay oneself down, lie beside
accumulate	abundantly, copiously
accumulator	one who heaps up
accumulo	to heap up, increase by heaping, amass
accurate	carefully, precisely, exactly, nicely
accuratio	exactness, carefulness
accuratus	carefully wrought, elaborate, finished, exact
accuro	to give close attention to, be careful
accurro	to run to, hasten to
accursus	 a running to, coming to
accusabilis	that may be prosecuted, criminal
accusatio	a formal complaint, indictment, accusation, prosecution
accusator	the accuser, prosecutor, plaintiff
accusatorie	as a prosecutor, in an accusing manner
accusatorius	of a prosecutor, relating to a prosecution, making a complaint
accuso	to call to account, make complaint against, reproach, blame, accuse
acer	maple tree
acer2	sharp, piercing
acerbe	bitterly
acerbitas	bitterness, harshness, sourness
acerbo	to aggravate, make worse
acerbus	harsh, bitter, unripe
acernus	of maple wood
acerra	a casket for incense
acerrime	 of acriter
acersecomes	unshorn, i. e. ever youthful
acervalis	a conclusion by accumulation, sorites
acervatim	by heaps, in heaps
acervo	to heap up, pile up
acervus	 a mass of similar objects, pile, heap
acesco	to turn sour, sour
acetum	vinegar
achaei	 the inhabitants of the district of Achaia
achaemenes	 an ancestor of the kings of Persia
achaemenius	Persian, Parthian
achaias	 a Greek woman
achaicus	 Achaean, Grecian
achais	 Grecian
achaius	 Grecian
acharnanus	 of Acharnae (an Attic deme)
achates2	Achates, companion of Aeneas
acheloius	 of the river Achelous
acheron	 a river of the lower world
acheruns	 a river of the lower world
acherusius	 of the Acheron in Bruttium
achilles	 a Grecian hero
achilleus	 of Achilles
achivus	 Achaean, Grecian, O
acidalia	 an epithet of Venus, from the fountain Acidalia in Boeotia, V
acidus	sour, acid, tart
acies	edge; battle line
acinaces	 a scimitar, short sabre, H., Cu
acinum	 a small berry
acipenser	a sea-fish
aclys	 a small javelin with a strap, V
acoenonoetus	 without common-sense, Iu
aconitum	 a poisonous plant, wolf’s-bane, aconite, O., V. --Poet., poison
acquiro	to get in addition, obtain besides, accumulate
acragas	 Agrigentum, V
acratophoron	 a vessel for unmixed wine
acredula	 an unknown animal
acriculus	irritable
acrimonia	sharpness, pungency
acrisioneus	 of Acrisius, V., O
acrisioniades	 a descendant of Acrisius, i. e. Perseus, O
acrisius	 a king of Argos, V., O
acriter	sharply, fiercely
acroama	 an entertainment for the ear
acroasis	 prop., a hearing; hence, a discourse, lecture, C
acroceraunia	 a rocky promontory of Epirus
acta	 the sea-shore, sea-beach
actaei	 the people of Attica
actaeon	 grandson of Cadmus
actaeus	 prop. of Acte (the coast of Attica)
actiacus	of Actium
actias	 Athenian
actio	a putting in motion, doing, performing, acting, action, act
actito	to conduct often, be engaged in, act in
actium	 a promontory of Acarnania
actius	 of Actium
actor	a driver
actuaria	a swift boat
actuariola	a row-boat, barge
actuarius	easily driven, swift
actum	a deed, transaction, proposition, decree, law
actuose	passionately, eagerly
actuosus	full of life, active
actus2	a driving, impulse, setting in motion
actutum	 immediately, forthwith
aculeatus	with a sting
aculeus	a sting
acumen	a point
acuo	to sharpen, whet, point, make sharp
acus	a needle
acute	sharply
acutulus	rather keen
acutum	 see acutus
acutus	sharpened, pointed, sharp, cutting
ad	to, toward (+ acc.)
adactio	a compelling, exaction
adactus	P. of adigo
adaeque	 in like manner, so also
adaequo	to make equal, equalize, level with
adamanteus	hard as steel, adamantine, not to be broken
adamantinus	 hard as steel, inflexible
adamas	 adamant, hardest iron, steel
adamo	to fall in love with, conceive desire for, desire eagerly
adaperio	to throw open, open wide, lay open
adapertilis	that may be opened
adapertus	open, wide open
adaquor	 to obtain water, fetch water (once)
adaugeo	to increase by adding, augment
adaugesco	to grow, increase
adbibo	to take in by drinking
addenseo	to crowd together
addico	to give assent
addictio	 an award, adjudging (rare)
addisco	to learn in addition, gain knowledge of
additamentum	an accession
addo	to put on, add, join
addoceo	to teach in addition (once)
addubito	to entertain a doubt, incline to doubt, hesitate, be uncertain
adduco	to lead to, bring to, bring along
adducte	strictly, severely
adductus	strict, severe
adedo	to eat away, gnaw at, consume
adelphi	 The Brothers (a comedy), T
ademptio	a taking away, depriving
ademptus	P. of adimo
adeo	to go to, approach; address, consult, undertake, submit
adeo2	to this, thus far, so far, as far
adeps	 the soft fat of non-ruminating animals, fat
adeptio	an obtaining, attainment
adequito	to ride to, gallop to, ride up
adesdum	 come to me, stand by me (once), T
adesus	P. of adedo
adfabilis	approachable, courteous, affable, kind, friendly
adfabilitas	courtesy, affability
adfabre	cunningly, in a workmanlike manner
adfatim	satisfactorily, sufficiently, abundantly
adfatus	an accosting, speaking to
adfectatio	a claiming
adfectio	a relation, disposition
adfectus	furnished, supplied, endowed, provided, gifted
adfectus2	a state
adfigo	to fasten, attach, affix, annex
adfingo	to form as an addition, make besides, attach, affix, append
adfinis	 adjoining, bordering on
adfinis2	 a connection by marriage
adfirmans	P. of adfirmo
adfirmate	with solemn assurance
adfirmatio	an affirmation, asseveration, solemn assurance
adfirmo	to strengthen.--Fig., to confirm, encourage
adfixus	joined, attached
adflatus	a blowing on, breeze, blast, breath
adfluens	flowing, abounding, abundant, rich, copious, affluent, numerous, plentiful
adfluenter	lavishly, abundantly
adfluentia	a flowing to
adfulgeo	 to shine upon, beam, glitter, appear bright, be radiant
adfundo	to pour into, administer
adfuturus	P. of adsum
adhaereo	to cleave, adhere, stick to
adhaeresco	to cleave, stick, adhere
adhaesio	 an adhering, clinging (once)
adhibeo	to hold toward, turn to, apply, add to
adhortatio	an encouragement, exhortation
adhortator	one who encourages
adhortor	to encourage, exhort, stimulate, rouse, urge
adhuc	until now, as yet
adiaceo	to lie at, lie near, adjoin, border upon, touch, bound
adicio	to throw to, cast to, fling at, put, put to, set near
adiectio	an annexation, addition
adigo	to drive, urge, bring by force, take
adiicio	to throw to, cast to, fling at, put, put to, set near
adimo	to take away, take from, deprive of
adipatus	fat, greasy
adipiscor	to come up with, arrive at, reach, overtake
aditus2	a going to, drawing near, approach, access
adiudico	to make a judicial award, grant, award, adjudge
adiumentum	a means of helping, help, aid, support, assistance
adiunctio	a joining, union, conjunction
adiunctor	he who adds
adiunctus	closely connected, joined, united
adiungo	to fasten on, join to, harness
adiuro	to swear to in addition, attest besides, add to an oath
adiuto	to help zealously, serve, aid, assist
adiutor	a helper, assistant, confederate
adiutrix	she that helps, a female assistant
adiutus	P. of adiuvo
adiuvo	to help, assist, aid, support, further, sustain
adlabor	 to glide towards, flow, glide, slide
adlaboro	to labor, toil
adlacrimo	to shed tears thereat, weep (once)
adlapsus	a gliding up to, stealthy approach
adlatro	to bark at. --Fig., to rail at, revile
adlaturus	PP. of adfero
adlecto	to allure, entice
adlegatio	a sending, despatching
adlego2	to select, choose, elect
adlevamentum	a mitigation, relief
adlevatio	an alleviation
adlevo	to lift up, raise, set up
adlicio	to allure, entice, attract, persuade, influence
adlido	to strike upon, dash against
adlino	to besmear
adlisus	P. of adlido
adlocutio	a consoling, comforting
adlocutus	P. of adloquor
adloquium	an exhortation, encouragement
adluo	to flow near to, wash against, bathe
adluvies	an inundation
adluvio	an inundation
admaturo	to mature (once)
admetior	 to measure out
adminiculo	to prop
adminiculum	a stake, prop
administer	 one who is at hand to help, an assistant, minister, helper
administra	a female assistant, handmaid
administratio	aid, help, co-operation
administrator	a manager, conductor
administro	to manage, control, guide, superintend, execute, regulate, rule, direct
admirabilis	admirable, wonderful
admirabilitas	admirableness
admirabiliter	wonderfully, admirably
admirandus	to be wondered at, admirable, wonderful
admiratio	admiration, wonder
admirator	an admirer
admiror	 to regard with wonder, admire
admisceo	 to add so as to form a mixture, mix with, admix
admissarius	a stallion
admissum	a voluntary fault, trespass, crime
admissus	P. of admitto
admitto	 to send to, let go, let loose, let come, admit, give access
admixtio	a mingling
admixtus	P. of admisceo
admodum	 prop., to the proper limit, to full measure
admolior	 to bring hither
admoneo	to bring to mind, remind, suggest, put in mind of
admonitio	a suggestion, reminding
admonitor	an admonisher, exhorter
admonitum	a reminding, warning
admonitus	a reminding, suggestion, request
admorsus	bitten, gnawed
admotio	an application
admoveo	 to move to, move towards, bring up, bring near, carry, conduct, drive
admugio	to low to, bellow to
admurmuratio	a murmuring, murmur
admurmuro	to murmur, murmur at
adnato	to swim up
adnecto	to tie to, bind to, fasten on, attach, annex
adnexus	a connection, association
adnisus	P. of adnitor
adnixus	P. of adnitor
adno	to swim to, swim up to
adnoto	to observe, remark
adnumero	to add, join, count among
adnuntio	to announce, make known
adoleo	to turn to vapor
adolesco	grow up
adolesco2	to burn, blaze up, flame
adonis	 a youth beloved by Venus, V
adoperio	to cover, cover over
adoptatio	an adopting, adoption
adoptio	a taking as a child, adoption
adoptivus	of adoption
adopto	to take by choice, select, choose, adopt
ador	 a grain, spelt, H
adorea	a prize of valor
adoreus	of spelt
adorior	 to approach as an enemy, fall upon, assail, assault, attack
adorno	to provide, furnish, fit out, equip, make ready
adoro	to call upon, entreat, supplicate, implore
adquiesco	to become quiet, come to rest
adrado	to scrape, cut short, shave
adrectus	upright, erect, standing
adrepo	to creep to, steal up
adripio	to snatch, catch hurriedly, grasp, seize
adrisio	a smile of approval
adrodo	to nibble at, gnaw
adsecla	a follower, attendant
adsectatio	a waiting on, attendance
adsectator	a client, follower
adsector	 to wait upon, follow
adsecula	a follower, sycophant
adsensio	an assent, agreement, approval
adsensor	 one who agrees
adsertor	one who claims
adservio	to help, assist, strengthen (once)
adservo	to watch over, keep, preserve, guard
adsessio	a sitting near
adsessor	an assistant, aid
adsessus	a sitting by
adseveranter	earnestly, emphatically
adseveratio	a vehement assertion, protestation
adsevero	to affirm, insist on, maintain, assert, aver
adsido	to take a seat, sit down, resume one’s seat
adsignatio	an assigning, allotting
adsigno	to mark out, allot, assign, award
adsilio	to leap at, spring upon
adsimilis	 like, similar
adsimulatio	 a feigned assent, Her
adsimulatus	feigned, pretended, fictitious
adsimulo	to make like, liken, compare
adsoleo	to be accustomed, be wont, be usual
adsono	to resound, respond
adsulto	to leap at, attack, assault
adsultus	an attack, assault
adsum	to be present
adsumo	to take to oneself, receive
adsumptio	acceptance, adoption
adsumptivus	extraneous, extrinsic
adsuo	to sew on, patch
adsurgo	to rise up, rise, stand up
adulans	see adulor
adulatio	a fawning
adulator	a sycophant, Her
adulatorius	 flattering
adulescens	young
adulescens	young person, young man, young woman
adulescentia	youth
adulescentula	a young maiden, little girl
adulescentulus	a very young man
adulo	to fawn upon
adulor	 to fawn
adulter	adulterous, unchaste
adulterinus	false, forged, counterfeit
adulterium	adultery
adultero	to commit adultery, C
adultus	grown up, mature, adult, ripe
adumbratio	a sketch, outline
adumbratus	sketched, shadowed, in outline
adumbro	to sketch in shadow, outline, represent vaguely
aduncitas	hookedness
aduncus	 bent inwards, hooked
adurgeo	to pursue closely
aduro	to set on fire, kindle, scorch, parch, burn, singe
adusque	Poet., all the way to, as far as
adustus	sunburnt, brown
advecticius	imported
advecto	to keep bringing, import continually
advectus	a bringing hither
adveho	to bring hither, carry to, conduct
advelo	to veil, wreathe
advena	a stranger, foreigner, immigrant
advenio	to come to, reach, arrive at
adventicius	foreign, strange, accidental
advento	to advance, press forward, march on, approach
adventus	a coming, approach, arrival
adversarius	opposite, hostile, contrary
adversatrix	an opponent
adversio	direction, employment
adversor	to resist, withstand, oppose
adversum	praep
adversum2	 the opposite direction
adversum3	misfortune, calamity, disaster
adversus	turned towards, fronting, facing, before, in front
adversus2	 an enemy, opponent
adversus3	opposite, in opposition
adverto	to turn toward
advesperascit	impers, it approaches evening, is twilight
advigilo	to watch, be watchful
advocata	one called to aid, a supporter
advocatio	a summoning as counsel
advocatus	one called to aid
advoco	to call, summon, invite
advolatus	an approach by flying
advolo	to fly to, fly towards
advolvo	to roll to, roll towards, bring by rolling
adytum	Usu. plur, the inmost recess, holiest place
aedes	building; house; temple
aedes2	 see aedis
aedicula	dim. (aedes), a small temple, chapel, niche
aedificatio	the process of building
aedificatiuncula	a little building
aedificator	a builder
aedificium	a building, edifice, structure
aedifico	to build, erect a building
aedilicius	of an aedile
aedilis	a commissioner of buildings, aedile, magistrate for public works
aedilitas	the office of an aedile, aedileship
aedis	dwelling of the gods, temple, sanctuary
aeditimus	 old for aedituus
aedituus	a custodian of a temple, sacristan
aegaeus	 Aegean
aeger	painfully, distressingly; with difficulty; unwillingly; hardly
aeger	unwell, ill, sick, diseased, suffering, feeble
aegis	 the shield of Jupiter, with the head of Medusa borne by Minerva, V., H. A shield, defence, O
aegre	painfully, distressingly
aegresco	to fall sick
aegrimonia	anxiety, trouble
aegritudo	sickness, grief, affliction, melancholy
aegrotatio	sickness, disease
aegroto	to be sick, languish, pine
aegrotus	sick, diseased
aegyptius	 Egyptian
aelinos	 a dirge, O
aemulatio	rivalry, emulation, competition
aemulator	a zealous imitator
aemulatus	 rivalry, jealousy
aemulor	to rival, vie with, emulate, strive to excel
aemulus	striving earnestly after, emulating, rivalling, vying with, emulous
aeneius	of Aeneas
aeneus	of copper, of bronze
aenigma	 a figure, allegory
aenipes	bronze-footed
aenus	of copper, of bronze
aeolius	 Of Aeolus, the god of the winds
aequabilis	like, similar, equal, uniform
aequabilitas	equality, uniformity, evenness
aequabiliter	equally
aequaevus	of equal age
aequalis	equal, like, even, on a par
aequalitas	equality, similarity, likeness
aequaliter	evenly, equably
aequanimitas	good-will, kindness
aequatio	an equal distribution, community
aequatus	level, levelled, even
aeque	equally, in like manner, just as, in an equal degree, to the same extent
aequilibritas	equipoise
aequinoctialis	equinoctial
aequinoctium	the equinox
aequipero	to compare, liken
aequitas	uniformity, evenness
aequo	to make equal, equalize
aequor	even surface, level; (surface of the) sea
aequoreus	of the sea, marine
aequum	 a plain, level
aequus	equal; level; fair
aequus	equally
aer	air
aeraria	a mine
aerarium	part of the temple of Saturn at Rome, in which the public treasure was kept, the treasury
aerarius	of copper, of bronze, made of copper
aerarius2	 a resident who pays a polltax, but cannot vote nor hold office
aeratus	of bronze
aereus	of copper, of bronze
aeripes	with feet of bronze
aerius	of the air, aerial, high, heavenly
aerugo	rust of copper, verdigris
aerumna	toil, hardship, distress, trouble, tribulation
aerumnosus	 full of trouble, miserable, wretched, distressed
aes	bronze, copper
aesculetum	a forest of oaks
aesculeus	of the oak
aesculus	 the Italian oak (with edible acorns)
aesopius	Aesopian
aestas	 summer
aestifer	 heat-bringing, causing heat
aestimabilis	worthy of esteem
aestimatio	the determination of value, value, valuation, appraisement
aestimator	one who values, an appraiser
aestimo	to determine the value of, estimate, value, rate, appraise
aestiva	a summer camp, summer resort
aestivus	of summer, as in summer, summer-like, summer
aestuarium	a tract overflowed at high tide, salt marsh
aestuo	to rage, burn
aestuose	glowingly, hotly
aestuosus	burning hot, glowing
aestus	an agitation, glow, heat, rage of fire
aetas	age, lifetime
aetatula	a tender age
aeternitas	eternity, endlessness, immortality
aeterno	to perpetuate, immortalize
aeternum	 see aeternus
aeternus	lasting, eternal
aether	sky, ether
aetherius	 of the upper air, heavenly, ethereal, celestial
aethiops	 an Ethiopian, negro
aethra	 the ether, sky, air
aevitas	age, time of life
aevum	neverending time, eternity
afer	 African
affecto	to strive after, strive to obtain, aspire to, pursue, aim at
affero	to bring
afficio	to do to, treat, use, manage, handle
affinitas	relationship by marriage
afflictatio	physical pain, torture
afflicto	to break to pieces, destroy, shatter, damage, injure
afflictor	one who strikes down
afflictus	cast down, miserable, unfortunate, overthrown, wretched, distressed
affligo	to dash at, strike upon, throw down, overthrow, afflict
afflo	to blow on, breathe upon
affluo	to flow to, flow towards, flow by
affor	In gen., to speak to, say to, address, accost
africa	Libya, the Carthaginian territory
africanus	of Africa, African
africus	African (poet. for Africanus); the south-west wind
agaso	 a driver, hostler
age	imper. of ago, freq. as interj, come, go to; see ago
agellulus	a very small field
agellus	a small estate, little field
agema	 the flower of the (Macedonian) cavalry
agenor	 a king of Phoenicia
agens	effective, powerful
ager	field
aggemo	to groan at, lament over (poet.)
agger	a mass, heap, collection, pile; rampart
aggero2	to make a mound of, heap up, pile
aggestus	 a bringing in, collecting
agglomero	to wind on, add by winding
agglutino	to glue to, stick on, fig
aggravesco	to increase in weight, grow violent
aggravo	to make heavy
aggredior	to approach, attack
aggrego	to add to a flock, bring together in a flock
aggressio	an assault
aggressus	P. of aggredior
agilis	nimble, quick, agile, lively, prompt
agilitas	nimbleness, activity, quickness
agitabilis	easily moved, light
agitatio	movement, motion, agitation
agitator	a driver
agite	imper. plur. of ago
agito	to set in motion, move, excite, assail; to consider, ponder, deliberate
agmen	that which is driven, line of march
agna	a ewe lamb
agnalia	see Agonalia
agnascor	to be born in addition (i. e. after a father’s will was made)
agnatio	consanguinity on the father’s side
agnatus2	a relation on the father’s side
agnina	the flesh of a lamb, lamb
agnitio	a knowing, knowledge
agnosco	to recognize, identify, make out
agnus	a lamb
ago	to do, drive
agonalis	 of the festival Agonalia (in honor of Janus, on Jan. 9th)
agonium	 a victim, beast for sacrifice
agraria	(sc. lex), an agrarian law
agrarii	 the agrarian party, supporters of agrarian laws
agrarius	pertaining to land
agrestis	of the fields, belonging to the country
agrestis2	 a countryman, peasant, rustic
agricola	a husbandman, agriculturist, ploughman, farmer, peasant
agripeta	a colonist, one who seeks land to cultivate
agyieus	an epithet of Apollo, as guardian of streets
ah	interj. --Of distress or pity, ah! alas! H. Of reproach or admonition, ah! oh! V. Of surprise, Oh! I see! H
ai	interj, alas, only O. (once)
aio	to say; to affirm
aius	the speaker
ala	a wing; armpit
alacer	lively, brisk, quick, eager, excited, glad, happy
alacritas	liveliness, ardor, eagerness, alacrity, cheerfulness, encouragement
alapa	 a box on the ear, blow with the open hand
alaris	of the wing
alarius	of the wing
alatus	winged, having wings
alauda	a soldier of the legion
albatus	white - robed, clothed in white
albens	whitening, white
albeo	to be white
albesco	 to become white, whiten
albico	to be white
albidus	whitish, white
albula	old name of the Tiber
albulus	whitish
album	white color, whiteness
albus	white
alces	 the elk
alcides	 a descendant of Alceus; esp. his grandson Hercules
alcinous	 a king of the Phaeacians
alcyon	king-fisher
alea	 a game with dice
aleator	a player with dice, gamester
aleatorius	of a gamester
alecto	 one of the three furies
aleo	 a gamester
ales	winged; bird
alga	 sea-weed, H. --Prov. of worthlessness
algeo	to be cold, feel cold
algesco	to catch cold
algidus	cold
algor	cold, chilliness
alias	at another time
alibi	 elsewhere, somewhere else, at another place (cf. alio loco)
alicubi	at any place, somewhere, anywhere
alicunde	from somewhere, from any place
alienatio	a transfer, surrender
alienatus	P. of alieno
alienigena	one born in a foreign land, an alien
alieno	to make strange, make another’s, transfer, make over, part with
alienum	 see alienus
alienum2	 the property of a stranger, another’s possessions
alienus	another’s; foreign; strange
alienus	stranger; foreigner
alienus2	 one of another house, a stranger to the family, foreigner, alien
aliger	bearing wings, winged
alimentarius	 pertaining to nourishment lex, for distributing food among the poor
alimentum	nourishment, nutriment, aliment
alimonium	 nourishment, sustenance, Ta
alio	to another place, to another, elsewhere
alioqui	 in another way, in other respects, for the rest, otherwise
aliorsum	in another direction, in another manner, in a different sense
alipes	with wings on the feet, wing-footed
aliptes	 one who anointed wrestlers, a wrestling-master
aliqua	 by any way, in any direction, any whither
aliquam	in some degree, somewhat, pretty, moderately, to a degree
aliquando	at some time / other, once; at any time, ever
aliquantisper	 for a moderate period, a while, for a time, for some time
aliquanto	by some little, in a degree, somewhat, rather
aliquantulum	 a little, trifle
aliquantum	a little, some, a considerable amount, something
aliquantum2	 somewhat, in some degree, considerably, not a little
aliquantus	 of an indefinite quantity, some, considerable, moderate
aliqui	some, any
aliquid	somewhat, in something, in anything, at all, in some degree, to some extent
aliquis	someone, anyone, something, anything
aliquo	to some place, somewhere, anywhither
aliquot	 some, several, a few, not many, a number
aliquotiens	several times, at different times
alis	 alid, old for alius
aliter	in another way, differently
alium	 garlic
aliunde	from another, from another source, from elsewhere
alius	other, another
allabor	 to glide towards, flow, glide, slide
allec	 a fish sauce, H
alliensis	of the river Allia
allifanus	of Allifae (a town of Samnium)
alligo	to bind to, tie to
allobrox	 one of the Allobroges, a warlike people of Gaul
alloquor	 to speak to, address, salute, greet
alludo	to play, sport, joke, jest, do sportively
almus	nourishing, fruitful, foodgiving
alnus	the alder
alo	to nourish, support
aloe	 the aloe
alpha	 the first letter of the Greek alphabet
alpinus	of the Alps, Alpine
alsus	cool, chilly
altaria	a high altar, altar for sacrifice to the great gods
alte	high, on high, from above, loftily
alter	the other (of two)
altercatio	a debate, discussion, alternate discourse
alterco	to wrangle
altercor	to alternate in discussion, dispute, wrangle
alternis	alternately, by turns
alterno	to do by turns, interchange
alternus	one after the other, alternate, in turn, reciprocal
alteruter	 one or the other, either this or that, one of two
alticinctus	high-girded
altilis	fattened, fat
altisonus	of lofty sound
altitonans	high-thundering
altitudo	height, altitude
altivolans	high-flying, soaring
altor	a nourisher, sustainer, foster-father
altrix	a foster-mother, cherisher, sustainer
altum	height
altum2	deeply
altus	high, tall; deep
altus2	nourishing, support
alucinor	 to wander in mind, talk unreasonably, ramble in thought
alum	a plant, comfrey, symphytum officinale; a kind of garlic
alumna	a foster-daughter, pupil
alumnus	a foster-son, ward, nursling
alus	a plant, comfrey, symphytum officinale; a kind of garlic
aluta	 a soft leather prepared with alum
alvearium	 a beehive
alveolus	a tray, trough, basin
alveus	a hollow, cavity, excavation
alvus	the belly, paunch, bowels, womb
alyattes	 a king of Lydia, father of Croesus
amabilis	worthy of love, lovely, amiable, attractive
amabiliter	lovingly, pleasantly, delightfully
amandatio	a sending away
amando	to send away, remove
amandus	pleasing
amans	lover
amanter	lovingly, affectionately, amiably
amaracus	 marjoram
amarantus	the amaranth
amarities	 bitterness
amaror	bitterness
amarus	 bitter, pungent
amaryllis	 a shepherdess, V
amata	a beloved woman
amathusia	 Venus (worshipped at Amathus in Cyprus), Ct., O
amator	a lover, friend
amatorie	amorously
amatorius	loving, amorous, amatory
amatus	P. of amo
amazon	an Amazon. Plur., Amazons, a tribe of warlike women on the river Thermodon
amazonis	 an Amazon, V
amazonius	 Amazonian
amb	 around, round about, only in composition
ambactus	a vassal, dependant
ambages	(a going around); circumlocution, obscurity, digression
ambedo	to eat around, waste, consume
