и	and
смерть	death
девушка	girl; young woman
образ	shape; form; image; manner
ко	towards; to a person´s house
забыть	forget
письмо	letter
черный	black
разный	different; various
выходить	go out; exit; leave; step out
просить	ask; request
брат	brother
показать	show; display
вспомнить	remember; reminisce
система	system
четыре	4
квартира	apartment
держать	hold; keep; hold on to
также	also; too; as well [same subject doing something additional]
любовь	love
откуда	from where; whence
третий	3rd; third
хозяин	owner; landlord; host
уходить	leave; depart; go away
спрашивать	ask; inquire
бросить	throw; quit (INF); dump (boyfriend/girlfriend)
школа	school
парень	boyfriend; guy; young fellow
двадцать	20
солнце	sun
неделя	week
послать	send
находиться	be located
ребята	guys (members of your peer group)
поставить	stand; set; put
встать	stand up; get up
например	for example
мужчина	man (M)
нос	nose
мало	little; very little; too little (not enough)
внимание	attention
ухо	ear
туда	there; to there; thither
сюда	here; to here; hither
играть	play
рассказать	tell (about something; a story)
великий	great; big
действительно	really; actually; indeed; truly
слишком	too
тяжелый	heavy; hard
спать	sleep
оставить	leave; leave behind; abandon
войти	go in; enter
длинный	long
чувство	feeling; sense
рассказывать	tell (about)
отвечать	answer
становиться	become
берег	bank; shore; coast
семья	family
искать	look for; search
момент	moment
десять	10
начать	start; begin (with; to do X)
следующий	next
верить	believe; believe in
группа	group; band
муж	husband
разве	really
порядок	order; sequence
ответ	answer (to a question)
тихо	quietly; calmly
знакомый	friend; acquaintance; familiar; known
газета	newspaper
помощь	help
сильный	strong; powerful
скорый	quick; rapid
собака	dog
дерево	tree
снег	snow
сон	sleep; dream (sleeping)
смысл	sense; meaning
бежать	run
двор	courtyard; yard
простой	simple
приехать	come; arrive (by vehicle; from a distance)
кричать	shout; yell; scream; call out
возможность	opportunity; possibility; chance
зеленый	green
угол	corner
открыть	open
происходить	happen; take place (neutral)
ладно	okay; fine; alright (agreeing to something)
ехать	go; ride; drive
немец	German
наверное	probably; most likely
дядя	uncle
приходить	come; arrive
часто	often; frequently
домой	home; to home; homeward
писатель	writer
армия	army
очередь	line (queue); turn (in games)
гость	guest
показаться	seem; be shown; be displayed
собираться	plan to; intend; get ready for; get together; meet
принять	receive; take (medicine; shower)
сначала	at first; at the beginning; from the beginning
поехать	go; ride; drive
услышать	hear
уметь	know how; be able to
случиться	happen (with; to) (often surprising or bad)
странный	strange; odd
единственный	only; single; sole
короткий	short; brief
море	sea
добрый	kind; good
темный	dark
гора	mountain
врач	doctor (profession)
стараться	try; try one’s best; try hard tо
лучший	better
река	river
страшный	terrible; horrible; terrifying
звать	be named; call (out loud)
произойти	happen; take place (neutral)
медленно	slow; slowly
никак	no way; by no means
заниматься	do; occupy oneself with; study; do homework; read; review
довольно	(adv) quite; (adj) content; satisfied (with)
вещь	thing
положить	lay; set; place; put
девочка	young girl; little girl
легкий	light; easy; lung
волос	hair (usually pl)
купить	buy
номер	number; room (in hotel)
широкий	wide; broad
умереть	die
далеко	distant; far (from)
плохо	bad; badly; poorly
глава	chapter; head (of group; figurative)
красивый	beautiful; pretty; handsome
серый	grey
пить	drink; |get drunk
обычно	usually
проблема	problem
страх	fear
ясно	clearly
снять	rent; lease; photograph; shoot a film; take off (item of clothing; lid; etc.)
бумага	paper (material)
герой	hero; (fictional) character
пара	pair
государство	state; government
деревня	country; countryside; village
речь	speech; talk
начаться	start; begin
скоро	soon
небольшой	small; not big
представлять	introduce; present; imagine (себе)
завтра	tomorrow
объяснить	explain; clarify
пустой	empty
нравиться	like
однажды	once; one time
существовать	exist; be
класс	classroom; grade (in school)
класс	cool!
толстый	fat
чистый	clean; pure
знать	know
профессор	professor
счастье	happiness; fortune
план	plan
чужой	someone else's; alien; other
зал	hall (concert; etc.)
представить	introduce; present; imagine (себе)
директор	director
бывший	former; past; ex-
память	memory
близкий	close
результат	result
больной	sick; sickly; be sick (short adj); patient (adj as noun)
бутылка	bottle
трудно	difficult; hard
ум	mind
процесс	process
картина	picture; painting
старший	older; senior (in rank)
легко	easily; lightly
центр	center; downtown
возможно	possible; possibly
около	around; about
смеяться	laugh
сто	100
будущее	(the) future; future tense
число	number; date
рубль	ruble
почувствовать	feel; sense
принести	bring
телефон	telephone; phone
коридор	hall; hallway; corridor
правый	right
автор	author
холодный	cold
многие	many; much
встреча	meeting (general usage)
кабинет	office (individual room)
документ	ID; papers
самолет	plane
принимать	receive; take (medicine; shower)
игра	game; play
рассказ	story; short story
хлеб	bread
родной	native; home; relatives; relations
открытый	open
менее	less
желтый	yellow
выпить	drink
крикнуть	shout; yell; scream; call out
показывать	show; display
доктор	doctor (title or profession)
попросить	ask; request
наука	science
привести	lead to; bring (a person) to
сорок	40
возвращаться	return; come back
кухня	kitchen; cuisine; type of food
решение	solution; decision
тридцать	30
роман	novel; romance
компания	company
частый	often; frequent
российский	Russian (official; government-related)
потерять	lose
синий	blue; dark blue; navy blue
тепло	warm
теплый	warm
метр	meter
институт	institute
интерес	interest
обычный	usual; customary
половина	half
шесть	6
получиться	turn out; result
вон	(over) there
идея	idea
достаточно	enough; sufficient
провести	lead; guide through; spend (time)
важный	important
родители	parents
простить	forgive; pardon; excuse
чай	tea
немецкий	German
по-немецки	in German
магазин	store
президент	president
поэт	poet
спасибо	thanks; thank you
вспоминать	remember; reminisce; recall; recollect
прекрасный	wonderful; excellent
надежда	hope
сильно	strong; powerful
литература	literature
готовый	prepared; ready
вчера	yesterday
роль	role
природа	nature
политический	political
садиться	sit down
фамилия	last name; family name; surname
пожалуйста	please; you’re welcome; here you go
выше	higher
толпа	crowd
неизвестный	unknown
кресло	armchair; chair with arms
секунда	second
банк	bank
тихий	quiet
сапог	boot
правило	rule
получать	receive; get
дочь	daughter
называться	be called; named (of things)
надеяться	hope; rely on
государственный	state; government
десяток	a ten-pack; set of ten
глубокий	deep
цветок	flower
желание	desire; longing; wish
дождь	rain
этаж	floor; story
голубой	blue; light blue; sky blue
революция	revolution
сосед	neighbor
сестра	sister
долгий	long
чей	whose
поверить	believe; believe in
ситуация	situation
слабый	weak
выход	exit; way out
совет	advice; counsel
дурак	fool; idiot
любимый	favorite; beloved
лето	summer
висеть	hang; be hanging
цвет	color
серьезный	serious
интересно	interesting; I wonder
свобода	freedom
стул	chair
уехать	leave; depart; go away (driving; long distance)
поезд	train
музыка	music
быстрый	quick; fast
лошадь	horse
поле	field
учиться	study; be a student; learn; study; learn how to
левый	left
разговаривать	talk; converse; have a conversation
детский	children's; child
тип	type; sort; kind
горячий	hot (food; drink)
площадь	square
помогать	help
счастливый	happy; fortunate
встретить	meet
радость	joy; happiness
острый	sharp; spicy; hot
карта	map; (playing) card
входить	go in; enter
цена	price; cost
информация	information
нести	carry
обратно	back; return
современный	contemporary; modern
семь	7
веселый	happy; cheerful
правительство	government
милый	sweet; nice
повторить	repeat; review
название	name; title (of things)
пример	example
невозможно	impossible; impossibly
американский	American
факт	fact
рыба	fish (as food or animal)
бабушка	grandmother; grandma; old lady
вино	wine
учитель	schooltecher; teacher (not university)
папа	dad; daddy; papa; father
правильно	correctly
недавно	recently
лететь	fly
носить	carry; wear
птица	bird
мнение	opinion
здоровый	healthy
зима	winter
километр	kilometer
кровать	bed (furniture)
привыкнуть	get used to; become accustomed to
свободный	free (freedom; not busy)
лестница	stair(s); stairway; ladder
обязательно	without fail; definitely; certainly; obligatory; mandatory; must
детство	childhood
остров	island
статья	article
позвонить	call (by phone)
мешать	bother; hinder; annoy; stir; stir up
водка	vodka
станция	station
попробовать	try; taste; sample
получаться	turn out; result
странно	strangely; oddly
интересный	interesting
команда	team
ставить	stand; set; put
понятно	understood; got it; understandably; understandable; intelligibly; intelligible
страшно	terribly; horribly; terrifyingly
район	neighborhood; area
наверно	probably; most likely
проводить	lead; guide through; spend (time)
обещать	promise
дорогой	dear; expensive
прямой	straight; forward
художник	artist (visual arts)
знак	sign; symbol; character
завод	factory (heavy industry)
стакан	glass; cup
отсюда	from here; hence (source)
рот	mouth
пора	time; it’s time to
передать	pass; convey
вставать	stand up; get up
одежда	clothes; clothing
кусок	bite (to eat); little bit; piece
тема	theme; topic; the old information in a sentence
животный	animal
снимать	rent; lease; photograph; shoot a film; take off (item of clothing; lid; etc.)
искусство	art
умный	smart; intelligent
курс	course (college); year (in college)
звонить	call; telephone
здание	building
поговорить	have a (little) talk with
начинаться	start; begin
оттуда	from there; thence (source)
задача	problem (math; physics; etc.)
ужас	terror; horror
узкий	narrow
материал	material
нормальный	okay; fine; nothing much; normal
четвертый	4th
шум	noise
автомат	vending machine
тетя	aunt
доллар	dollar
студент	student (university)
очко	(pl) (eye)glasses; point
нож	knife
мировой	world; world-class; first-class; peace
предмет	subject (academic)
плохой	bad; poor
точный	precise; exact
инженер	engineer
программа	program
костюм	suit; costume
женский	female; women´s
театр	theater
встречаться	meet with
журнал	magazine
стихи	verse; poem; poetry
ключ	key
черт	devil
побежать	run
культура	culture
западный	western
фильм	film; movie
восемь	8
открывать	open
немедленно	not slow; quick; immediately
замечать	notice; take note of; remark; observe
закончить	end; finish
мягкий	soft; cool; mild
труба	pipe; duct; trumpet
редкий	rare
миллион	1,000,000
пятьдесят	50
закрыть	close;  close and lock
линия	line
понравиться	like
весна	spring
обед	lunch; dinner; main meal of day; formal meal
значение	meaning; significance
фотография	photograph; photo; picture
успех	success
грязный	dirty; muddy
билет	ticket
знаменитый	famous; well-known
лишний	extra; superfluous; not needed
родиться	be born
английский	English
громко	loudly; aloud
запад	west
Германия	Germany
спешить	hurry; be in a hurry
еда	food
поздно	late
ой	oh!; yikes!; ouch; ow (pain)
фирма	firm; company; business
организация	organization
гораздо	much; a lot (with comparatives)
подождать	wait
ошибка	mistake
повторять	repeat; review
несколько	several
учить	learn; study; memorize
учить	teach
бегать	run
общественный	social; public; community
лечь	lie down
камера	(video)camera (moving images)
ученый	scientist; scholar
фраза	phrase
считаться	be considered; thought to be
замок	lock (ЕЕ); castle; chateau (SS)
ездить	go; ride; drive
господи	O Lord!
встретиться	meet with
рынок	market; farmer’s market
тяжело	hard; difficult; heavily
клуб	club
платить	pay
столица	capital (city)
здоровье	health
здравствовать	be in good health; be well
пятый	5th
шутка	joke
исторический	historical
родина	homeland; native land; fatherland
страница	page
помочь	help
секретарь	secretary; administrative assistant
городской	city; urban
прекрасно	wonderful; wonderfully; excellent; excellently
Америка	America; USA; US
весело	happily; cheerfully
сигарета	cigarette
пиво	beer
возможный	possible
продукт	groceries
книжка	booklet; little book; book (dim.)
больница	hospital
ресторан	restaurant
находить	find
диван	couch; sofa
мясо	meat (sg only)
кошка	cat
взрослый	adult; grown up (adj or adj as noun)
народный	national; folk
процент	percent
бросать	throw; quit (INF); dump (boyfriend/girlfriend)
мечтать	dream; daydream; fantasize
автобус	bus
восток	east
оставлять	leave; leave behind; abandon
встречать	meet
ясный	clear
занятие	class (university); occupation
Европа	Europe
планета	planet
выбрать	select; choose; elect; pick out
доска	chalkboard; board
актер	actor
потолок	ceiling
постель	bed; bedding (sheets and blankets)
сумка	bag; purse; handbag
праздник	holiday; festival
мост	bridge
энергия	energy
объяснять	explain; clarify
пятнадцать	15
звонок	phone call; ring (bell)
кино	movie theater; cinema; movies
бедный	poor; not rich
летний	summer
адрес	address
закрытый	closed
жалко	(it's a) pity; shame; too bad that
кот	cat (male); tomcat
трудный	difficult
текст	text; lyrics
больно	painfully; hurts
терять	lose
приятель	friend (not as close as друг)
дедушка	grandfather; grandpa
прочитать	read
масло	butter; oil
младший	younger; junior (in rank)
построить	build
рождение	birth
болеть	be sick; get sick; take ill (with)
болеть	hurt; ache
низкий	low
далее	further
песня	song
розовый	pink
осень	fall; autumn
платье	dress
важно	importantly
шофер	driver; chauffeur
вход	entrance; way in
глупый	stupid; silly
национальный	national
приятно	pleasant; nice
рано	early
жениться	get married (of a man)
церковь	church
ручка	pen; hand (dim.); handle; arm (of furniture)
пригласить	invite
хозяйка	owner; landlady; hostess
дворец	palace
водитель	driver
строить	build
перейти	cross; go across; cross over to; switch to
урок	lesson; class (school; general)
повезти	carry; transport; convey
по-французски	in French
французский	French
повернуть	turn
серьезно	seriously
поступить	enroll in university
телевизор	television (set; device)
поиск	search
озеро	lake
чемодан	suitcase
приятный	pleasant; nice
стоить	cost; be worth
музей	museum
навсегда	forever; for good
родственник	relative
послушать	listen to
грязь	dirt; mud
отметить	observe; celebrate
экран	screen
молоко	milk
предложение	sentence; proposal; suggestion
среда	Wednesday; environment; surroundings
приезжать	come; arrive (by vehicle; from a distance)
кофе	coffee (M)
ниже	lower
вернуть	return; give back
северный	north; northern
познакомиться	become acquainted; meet
гулять	walk around; go for a walk; play hooky; skip something
температура	temperature; fever
подарок	gift; present
волноваться	be worried;  be troubled; be nervous
штука	item; thing
домашний	home; domestic; domesticated; homemade
готовить	make; prepare; cook (general cooking)
жалеть	take pity on
дача	country house; dacha
обо	about
довольный	(adv) quite; (adj) content; satisfied (with)
готовиться	prepare for; study for
портрет	portrait
шкаф	cabinet; wardrobe; shelving unit
куртка	jacket; coat (light or heavy; but short in length)
редко	rarely; seldom
занятой	busy; occupied
отойти	go away; step away from
вырасти	grow; grow up
Париж	Paris
рубашка	button-down shirt; men's shirt
парк	park
перевести	lead across; translate (from...into)
посадить	seat; set; plant; imprison
луна	moon
богатый	rich; wealthy
гостиница	hotel
твердый	hard
никуда	to nowhere
продать	sell
умирать	die
шапка	cap; hat (like a warm winter hat)
университет	university; college
журналист	journalist
летать	fly
обыкновенный	normal; typical; usual
иностранный	foreign
незнакомый	unknown; unfamiliar
забывать	forget
позвать	call (out loud)
плащ	raincoat
подъезд	entryway; entrance (to an apartment building)
съесть	eat
двенадцать	12
решать	work on; solve; decide
подарить	give as a gift
середина	middle
сумасшедший	crazy
здорово	cool; great; terrific; hey; hi
приводить	lead to; bring (a person) to
несчастный	unhappy
мужской	male; men´s
разница	difference
непонятный	not understandable; incomprehensible; unclear
политика	politics; policy
записать	write down; make note; record
теория	theory
интересовать	interest
чисто	cleanly; purely
близко	close to
вокзал	train station (large station in a big city)
столовая	dining room; dining hall; cafeteria
столовый	table
открыться	open (self; automatically)
полиция	police; police station
выбор	choice; selection (sg)
везти	carry; transport; convey
пиджак	blazer; sportscoat
тарелка	plate
научиться	learn; learn to do
подруга	girlfriend; female friend
выбирать	select; choose; elect; pick out
батарея	radiator (heating)
техника	technology; technological equipment
громкий	loud
восточный	eastern
приносить	bring
международный	international
мечта	dream (waking); daydream; fantasy
дочка	daughter
картошка	potato(es)
медведь	bear
проект	project
покупать	buy
паспорт	passport
двести	200
коллега	colleague
коммунист	communist
просьба	request
полчаса	half hour
сказка	fairy tale
твердо	hard
молодец	good job; smart fellow
собрание	meeting (more formal; scheduled)
девять	9
поступать	apply to university
океан	ocean
пачка	pack; packet; bag
поездка	trip
август	August
север	north
шляпа	hat (general word)
изо	from (в-words; most places)
брюки	pants
кабина	(enclosed) booth; cabin (airplane)
пальто	coat; trenchcoat; long coat; overcoat
экономика	economics; economy
талант	talent
канал	channel; canal
пассажир	passenger
благодаря	thanks to; because of (positive context)
шутить	joke; make fun of
случаться	happen (with; to) (often surprising or bad)
юг	south
отлично	excellent; great
отдыхать	rest; relax; go on vacation
октябрь	October
храм	temple; church; cathedral
сдать	take/pass (an exam)
шестой	6th
уезжать	leave; depart; go away (driving; long distance)
неприятный	unpleasant; not nice
переходить	cross; go across; cross over to; switch to
ботинок	shoe (men’s shoes)
корпус	building; unit (of a multi-unit apartment complex)
компьютер	computer
ложиться	lie down
коробка	box (cardboard; paper)
секрет	secret
седьмой	7th
привет	greetings; hi
посидеть	sit
южный	south; southern
радио	radio
профессия	profession; job
зимний	winter
повести	lead; guide
холодно	cold; coldly
лампа	lamp
закрывать	close;  close and lock
неплохо	not bad; okay
смешной	funny; absurd; ridiculous
старушка	old woman
гриб	mushroom
погода	weather
Израиль	Israel
профессиональный	professional
ложка	spoon
убрать	clean; tidy up; remove; take away
смешно	funny; absurd; ridiculous
продавать	sell
баня	bath; bathhouse; sauna
повесить	hang; hang up
ужин	dinner; supper; light evening meal
март	March
библиотека	library
коричневый	brown
сладкий	sweet
непонятно	not understandable; incomprehensible; unclear
задание	assignment; task
ужасный	awful; horrible; terrible
отдых	rest; relaxation
яблоко	apple
путешествие	travel; journey
традиция	tradition
Франция	France
американец	American
нигде	nowhere
яйцо	egg
удобный	comfortable; convenient
тетка	lady; woman (coll.)
пропустить	let through; miss; skip
мягко	softly
китайский	Chinese
деталь	detail
контакт	contact
шеф	boss
Петербург	Petersburg
Санкт-Петербург	St. Petersburg
правильный	right; correct
новость	(bit of) news; news
гений	genius
передача	broadcast; program; show
декабрь	December
лук	onion
лаборатория	lab; laboratory
ноябрь	November
пакет	plastic or paper shopping bag; packet; package
постараться	try; try one’s best; try hard tо
изучать	study (seriously; university-level)
посылать	send
танцевать	dance
коротко	shortly; briefly
дешевый	cheap
внук	grandson
голодный	hungry
ужасно	terribly; horribly
стиль	style
вслух	aloud
режиссер	director (film and stage)
метро	subway; metro
май	May
закончиться	end; finish
сентябрь	September
завтрак	breakfast
альбом	album
задавать	assign
полететь	fly
папка	folder
концерт	concert
модель	model; example
описать	describe
возвращение	return
класть	lay; set; place; put
идиот	idiot
лекция	lecture
республика	republic
портфель	briefcase
виза	visa
водить	lead; guide
пробовать	try; taste; sample
заплатить	pay
кафе	cafe
японский	Japanese
отель	hotel (more trendy word)
немножко	little bit; some
карандаш	pencil
принц	prince
бизнес	business
иностранец	foreigner
приготовить	make; prepare; cook (general cooking)
пожалеть	take pity on
организовать	organize; plan
приглашать	invite
галстук	tie; necktie
отличный	excellent; great; excellently; wonderfully
скандал	scandal; row (Br)
дура	fool; idiot
полицейский	police officer
посуда	dishes (sg only)
необыкновенный	unusual; atypical
научить	teach
такси	taxi; cab
интересоваться	be interested in
вовремя	on time
агент	agent
январь	January
соль	salt (F)
свидание	date; meeting
негромко	not loud(ly); quiet(ly)
кролик	rabbit
политик	politician
шестьдесят	60
по-русски	in Russian
суп	soup
европейский	European
мода	fashion; style
понятный	understandable; intelligible; clear
июнь	June
спортивный	sport; sporting; sporty; athletic
открываться	open (self; automatically)
музыкант	musician
нормально	okay; fine; nothing much; normal
недалеко	not far; near
передавать	pass; convey
экзамен	test; exam
скамейка	bench; park bench
сахар	sugar
социализм	socialism
туалет	restroom; toilet
оценка	grade; mark; assessment
остановка	stop (bus; tram)
академик	academic
копейка	kopeck
триста	300
цивилизация	civilization
лифт	elevator
колбаса	sausage
каша	kasha; hot cereal
коммунизм	communism
грустно	sadly
турист	tourist
перевод	translation
поцеловать	kiss
блюдо	dish; course (entree or dishes)
демократия	democracy
штат	state (territory within a country)
носок	sock
Китай	China
музыкальный	musical; music
суббота	Saturday
посоветовать	advise; give advice; recommend
восьмой	8th
воскресенье	Sunday
помешать	bother; hinder; annoy
красиво	beautifully; prettily
целовать	kiss
заказать	order; place an order
Корея	Korea
рисунок	drawing
плюс	plus
транспорт	transport; transportation
семьдесят	70
рисковать	risk
чашка	cup; teacup
жаркий	hot (day; weather)
ванный	bathroom (room with bathtub and sink)
отходить	go away; step away from
балкон	balcony
жарко	hot (day; weather)
спектакль	show; performance
рисовать	draw
сок	juice
будущий	future; next
кремль	the Kremlin; Russian town fortress
майка	tank top; sleeveless t-shirt
один	one; alone
четверть	quarter
учительница	schooltecher; teacher (not university)
анекдот	joke (that you tell)
общежитие	dorm; dormitory
физика	physics
десятый	10th
осенний	fall; autumn; autumnal
советовать	advise; give advice; recommend
соседка	neighbor
неправильный	incorrect(ly)
сочинение	essay; composition
пляж	beach
спальня	bedroom
лампочка	lamp (dim); light bulb
скучно	boring
туфля	shoe (general dress shoes or women’s shoes)
пьеса	play; piece (music)
нередко	not rare; common
недовольный	not content; unsatisfied (with)
игрушка	toy
эксперимент	experiment
пообещать	promise
Англия	England
заболеть	hurt; ache
девятый	9th
записывать	write down; make note; record
глупо	stupidly; in a silly fashion
адвокат	lawyer; attorney
апрель	April
передо	in front of; before
почта	post office; mail
сдавать	let; lease; rent (X to Y); take|pass (exam)
практика	practice
нарисовать	draw
грустный	sad
понести	carry; wear (носить only)
необычный	unusual; uncommon
юбка	skirt
нехорошо	not well; badly; poorly
аэропорт	airport
задать	assign
выиграть	win
надолго	for a long time
неприятно	unpleasantly
цирк	circus
пешком	on foot
образец	example; model
одиннадцать	11
спорт	sport(s)
июль	July
напиток	drink; beverage
юмор	humor
чтение	reading; reading selection
недолго	not long; brief; briefly
видеться	see (each other)
свободно	free; freely; fluently
Берлин	Berlin
весенний	spring
визит	visit (may still be rather official)
Сибирь	Siberia
интервью	interview
гараж	garage
книжный	book
неудобно	uncomfortably; inconveniently
классический	classical
риск	risk
англичанин	Englishman; Englishwoman
прогулка	walk; stroll
командировка	business trip
КГБ	KGB
отмечать	observe; celebrate
прогресс	progress
реклама	advertisement; commercial
проспект	avenue; boulevard (wide main street)
энергичный	energetic
возить	carry; transport; convey
китаец	Chinese
космос	space; outer space
налево	to the left; leftwards
Италия	Italy
ругать	scold; curse at; cuss at; swear at; yell at
полдень	noon
выставка	exhibit; exhibition
ноль	0; zero
перчатка	glove
ранее	earlier; formerly
дата	date
февраль	February
категория	category
трамвай	tram; streetcar
телевидение	television (industry; business; medium; more abstract)
фабрика	factory (light industry); plant
прилететь	arrive (by flying); fly in (from)
одеваться	get (self) dressed
популярный	popular
направо	to the right; rightwards
премия	prize
рис	rice
биография	biography
Лондон	London
тетрадь	notebook
обедать	eat lunch; have lunch (the main daily meal)
велосипед	bicycle; bike
ванна	bathtub
холодильник	refrigerator
типичный	typical; normal
стихотворение	poem
перерыв	break (brief)
гостиный	living room
килограмм	kilogram
чайник	teapot; tea kettle
лыжа	ski
модный	fashionable; stylish
гитара	guitar
фрукт	fruit
мотоцикл	motorcycle
невысокий	short; not tall; not high
администрация	administration
опоздать	be running late/be late
ненужный	not needed; unnecessary
аппетит	appetite
шпион	spy
технология	technology
симпатичный	nice; likeable; good-looking; attractive
незнакомец	stranger
эпизод	episode; event
преподаватель	teacher (university level)
рекомендовать	recommend
диск	disk; CD; compact disc
улететь	fly away; depart (by flying)
бензин	gas; gasoline
купаться	swim; bathe (play in the water)
елка	fir tree; Christmas tree
медленный	slow
переводить	lead across; translate (from...into)
медицина	medicine (field)
полно	fully
француз	Frenchman; Frenchwoman
нуль	0; zero
капуста	cabbage
неплохой	not bad; okay
вкусный	tasty; delicious; good (of food and drink)
бесплатно	free (of cost)
пропаганда	propaganda
официант	waiter
школьник	school student
рюкзак	backpack
покупка	purchase; shopping
описывать	describe
Япония	Japan
специальность	specialty; major
буфет	snack bar; concessions; buffet
итальянский	Italian
серия	series
копия	copy
