"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"vōs","you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","130"
"vōtum -ī n.","solemn promise, vow; hope","Noun: 2nd Declension","Religion","334"
"vōx vōcis f.","voice, utterance","Noun: 3rd Declension","Speech/Oratory","169"
"urbs urbis f.","city","Noun: 3rd Declension","The City","82"
"ūsque","up to; continuously","Adverb","Time","527"
"ūsus -ūs m.","use, experience","Noun: 4th Declension","Education/Knowledge","446"
"ut, utī","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!","Adverb","Conjunctions/Adverbs","15"
"uterque utraque utrumque","each of two","Conjunction","Measurement","243"
"ūtilis -e","useful","Adjective: 3rd Declension","Making/Doing","850"
"ūtor ūtī ūsus sum","use, consume, employ (+ abl.)","Verb: Deponent","Making/Doing","330"
"utrum","whether; utrum ... an: whether ... or","Conjunction","Conjunctions/Adverbs","827"
"vulgō","commonly","Adverb","The City","991"
"vulgus -ī n. and m.","the common people","Noun: 2nd Declension","The City","675"
"vulnus -eris n.","wound","Noun: 3rd Declension","Violence","327"
"vultus -ūs m.","look, expression, face","Noun: 4th Declension","The Body","209"
"uxor uxōris f.","wife","Noun: 3rd Declension","The Household","552"
"sonō sonāre sonuī sonitum","sound, resound","Verb: 1st Conjugation","Other Senses","583"
"soror -ōris f.","sister","Noun: 3rd Declension","The Household","497"
"sors sortis f.","lot, fate, destiny; oracle","Noun: 3rd Declension","Religion","639"
"spargō spargere sparsī sparsum","scatter","Verb: 3rd Conjugation -ō","Earth and Water","532"
"spatium -ī n.","space","Noun: 2nd Declension","Air and Fire","426"
"speciēs -ēī f.","aspect, appearance","Noun: 5th Declension","Vision","599"
"spectō -āre","look at, consider","Verb: 1st Conjugation","Vision","473"
"spērō -āre","to hope","Verb: 1st Conjugation","Emotions","648"
"spēs speī f.","hope","Noun: 5th Declension","Emotions","232"
"spīritus -ūs m.","breath, life, spirit","Noun: 4th Declension","Life and Being","703"
"statim","immediately","Adverb","Time","798"
"statuō -ere -uī -ūtum","set up, determine","Verb: 3rd Conjugation -ō","Justice","678"
"stella -ae f.","star","Noun: 1st Declension","Air and Fire","934"
"stō stāre stetī statum","stand","Verb: 1st Conjugation","Life and Being","168"
"studeō -ēre -uī","be eager, be zealous, care for (+ dat.)","Verb: 2nd Conjugation","Emotions","989"
"studium -ī n.","eagerness, zeal","Noun: 2nd Declension","Emotions","450"
"sub","under, close to (+acc. or abl.)","Preposition","Place","118"
"subeō -īre -iī -itum","go under; endure","Verb: Irregular","Motion","538"
"subitō","suddenly, unexpectedly","Adverb","Time","848"
"sui sibi sē/sēsē","him- her- itself, themselves","Pronoun","Pronouns/Interrogatives","17"
"sum esse fuī futūrum","be, exist; fut. infin. often = fore, impf. subj. often = forem for essem","Verb: Irregular","Life and Being","2"
"sūmō sūmere sūmpsī sūmptum","take up","Verb: 3rd Conjugation -ō","Motion","454"
"super","over (adv. and prep. +acc.)","Adverb","Place","401"
"superbus -a -um","overbearing, proud, haughty","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","656"
"superī -ōrum m. pl.","those above, i.e. the gods","Noun: 2nd Declension","Religion","714"
"superō -āre","overcome, surpass, defeat","Verb: 1st Conjugation","War and Peace","668"
"supersum -esse -fuī","remain, survive; be superfluous (to)","Verb: Irregular","Place","623"
"superus -a -um","situated above, upper","Adjective: 1st and 2nd Declension","Religion","99"
"supplicium -ī n.","punishment, penalty","Noun: 2nd Declension","Justice","683"
"suprā","above, beyond (adv. and prep. +acc.)","Preposition","Place","588"
"surgō surgere surrēxī surrēctum","rise","Verb: 3rd Conjugation -ō","Earth and Water","570"
"suscipiō -cipere -cēpī ceptum","take up","Verb: 3rd Conjugation -iō","Verbs of Transport","937"
"sustineō sustinēre sustinuī sustentum","hold up, sustain","Verb: 2nd Conjugation","Social Life","762"
"suus -a -um","his own, her own, its own","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","27"
"taceō -ēre -uī -itum","be silent; tacitus -a -um, silent","Verb: 2nd Conjugation","Other Senses","369"
"tālis tāle","such","Adjective: 3rd Declension","Measurement","203"
"tam","so, so much","Adverb","Conjunctions/Adverbs","96"
"tamen","nevertheless, still","Conjunction","Conjunctions/Adverbs","58"
"tamquam","so as, just as","Adverb","Conjunctions/Adverbs","363"
"tandem","finally","Adverb","Conjunctions/Adverbs","427"
"tangō tangere tetigī tāctum","touch","Verb: 3rd Conjugation -ō","Other Senses","534"
"tantum, tantummodo","only","Adverb","Measurement","216"
"tantus -a -um","so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth","Adjective: 1st and 2nd Declension","Measurement","105"
"tardus -a -um","slow, sluggish, lingering","Adjective: 1st and 2nd Declension","Time","738"
"tēctum -ī n.","roof; building, house","Noun: 2nd Declension","The House","386"
"tegō tegere tēxī tēctum","cover, conceal","Verb: 3rd Conjugation -ō","Deception","376"
"tellus tellūris f.","earth","Noun: 3rd Declension","Earth and Water","337"
"tēlum -ī n.","missile, weapon, spear","Noun: 2nd Declension","War and Peace","255"
"tempestas -tātis f.","period of time, season; bad weather, storm","Noun: 3rd Declension","Lengths of Time","753"
"templum -ī n.","consecrated ground; temple","Noun: 2nd Declension","Religion","485"
"tempus -oris n.","time","Noun: 3rd Declension","Time","89"
"tendō tendere tetendī tentum","stretch, extend, direct (one’s steps or course)","Verb: 3rd Conjugation -ō","Travel","529"
"tenebrae -brārum f. pl.","darkness, the shadows","Noun: 1st Declension","Vision","775"
"teneō -ēre -uī tentum","hold, keep","Verb: 2nd Conjugation","Other Senses","106"
"tener -era -erum","tender","Adjective: 1st and 2nd Declension","Other Senses","490"
"temptō -āre","try, test","Verb: 1st Conjugation","Making/Doing","430"
"tergum -ī n.","back, rear; ā tergō: from the rear","Noun: 2nd Declension","The Body","474"
"terra -ae f.","land","Noun: 1st Declension","Earth and Water","70"
"terreō terrēre terruī territum","terrify, frighten","Verb: 2nd Conjugation","Emotions","705"
"tertius -a -um","third","Adjective: 1st and 2nd Declension","Measurement","682"
"testis -is m.","witness","Noun: 3rd Declension","Justice","741"
"timeō -ēre -uī","to fear, to dread","Verb: 2nd Conjugation","Emotions","153"
"timor -ōris m.","fear","Noun: 3rd Declension","Emotions","536"
"tollō tollere sustulī sublātum","raise up, destroy","Verb: Irregular","Violence","293"
"tot","so many","Adverb","Measurement","259"
"tōtus -a -um","whole, entire","Adjective: 1st and 2nd Declension","Measurement","78"
"trādō -dere -didī -ditum","hand over, yield","Verb: 3rd Conjugation -ō","Business/Money","297"
"trahō trahere trāxī trāctum","drag, draw","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","213"
"trānseō -īre -iī -itum","go across","Verb: Irregular","Travel","431"
"trēs tria","three","Adjective: Numeral","Measurement","533"
"tribūnus -ī m.","tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī","Noun: 2nd Declension","The City","807"
"trīstis -e","sad, solemn, grim","Adjective: 3rd Declension","Emotions","275"
"tū tuī tibi tē","you (sing.)","Pronoun","Pronouns/Interrogatives","9"
"tum or tunc","then","Adverb","Time","56"
"turba -ae f.","crowd, uproar","Noun: 1st Declension","The City","323"
"turbō -āre","disturb, confuse","Verb: 1st Conjugation","Speech/Oratory","868"
"turpis -e","ugly, unsightly; disgraceful","Adjective: 3rd Declension","Other Senses","377"
"tūtus -a -um","safe, protected","Adjective: 1st and 2nd Declension","War and Peace","365"
"tuus -a -um","your","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","44"
"vacō vacāre","be empty, open, unoccupied","Verb: 1st Conjugation","Measurement","724"
"vacuus -a -um","empty","Adjective: 1st and 2nd Declension","Measurement","673"
"vagus -a -um","wandering, shifting","Adjective: 1st and 2nd Declension","Travel","674"
"valeō valēre valuī","be strong, excel, be valid, prevail; valē: farewell!","Verb: 2nd Conjugation","Social Life","539"
"validus -a -um","strong","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","816"
"vanus -a -um","empty; false, deceitful","Adjective: 1st and 2nd Declension","Deception","856"
"varius -a -um","changing, varied, various","Adjective: 1st and 2nd Declension","Other Senses","631"
"vātēs -is m.","poet, bard","Noun: 3rd Declension","Writing/Poetry","684"
"ubi","where, when","Adverb","Place","92"
"ve","or (postpositive enclitic)","Conjunction","Conjunctions/Adverbs","307"
"vehō vehere vēxī vectum","carry; vehor vehī vectus sum: travel, ride","Verb: 3rd Conjugation -ō","Travel","632"
"vel","or else, or; even; vel ... vel: either … or","Conjunction","Conjunctions/Adverbs","141"
"quisquis quidquid","whoever, whichever","Pronoun","Pronouns/Interrogatives","129"
"quō","for which reason; to or in what place; to what end, for what purpose?","Adverb","Pronouns/Interrogatives","305"
"quōmodo","in what way, how?","Conjunction","Pronouns/Interrogatives","831"
"quondam","formerly, once","Adverb","Time","542"
"quoniam","since, seeing that","Conjunction","Conjunctions/Adverbs","510"
"quoque","also, too","Conjunction","Conjunctions/Adverbs","76"
"quotiēns","interr. how many times? how often? rel. as often as, whenever","Adverb","Pronouns/Interrogatives","970"
"rapiō rapere rapuī raptum","seize, tear away","Verb: 3rd Conjugation -iō","Violence","273"
"rārus -a -um","wide apart, loose, thin; rare, seldom","Adjective: 1st and 2nd Declension","Measurement","752"
"ratiō -ōnis f.","method, plan, reason","Noun: 3rd Declension","Education/Knowledge","256"
"recēdō -cēdere -cessī -cessum","step back, recoil, recede, withdraw","Verb: 3rd Conjugation -ō","Motion","826"
"recēns -ntis","fresh, new","Adjective: 3rd Declension","Time","781"
"recipiō -cipere -cēpī -ceptum","take back, receive; sē recipere, betake oneself, go","Verb: 3rd Conjugation -iō","Verbs of Transport","319"
"rēctus -a -um","straight, direct","Adjective: 1st and 2nd Declension","Measurement","823"
"reddō -dere -didī -ditum","return, give back","Verb: 3rd Conjugation -ō","Verbs of Transport","174"
"redeō -īre -iī -itum","go back, return","Verb: Irregular","Motion","301"
"referō referre rettulī relātum","bring back; report","Verb: Irregular","Verbs of Transport","171"
"regiō -ōnis f.","boundary, region","Noun: 3rd Declension","Geography","585"
"rēgius -a -um","kingly, royal","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","561"
"rēgnum -ī n.","kingship, kingdom","Noun: 2nd Declension","Geography","121"
"regō regere rēxī rēctum","guide, rule","Verb: 3rd Conjugation -ō","The City","554"
"relinquō -linquere -līquī -lictum","abandon","Verb: 3rd Conjugation -ō","Motion","144"
"reliquus -a -um","remaining, rest","Adjective: 1st and 2nd Declension","Measurement","788"
"reor rērī rātus sum","think, imagine, suppose, deem","Verb: Deponent","Education/Knowledge","774"
"reperiō -perīre -pperī -pertum","find, find out","Verb: 4th Conjugation","Education/Knowledge","765"
"repetō -petere -petīvī -petītum","demand, exact; revisit; call to mind, recollect; repeat","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","651"
"rēs reī f.","thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)","Noun: 5th Declension","Life and Being","38"
"respicio -ere -spēxī -spectum","look back, regard, consider","Verb: 3rd Conjugation -iō","Vision","722"
"respondeō -spondēre -spondī -spōnsum","answer","Verb: 2nd Conjugation","Speech/Oratory","535"
"retineō -tinēre -tinuī -tentum","hold back, keep","Verb: 2nd Conjugation","Verbs of Compelling/Directing","647"
"revertō -vertere -vertī","turn back","Verb: 3rd Conjugation -ō","Motion","995"
"revocō -āre","call back, recall","Verb: 1st Conjugation","Social Life","813"
"reus -ī m.","defendant","Noun: 2nd Declension","Justice","888"
"rēx rēgis m.","king","Noun: 3rd Declension","The City","60"
"rīdeō -ēre rīsī rīsum","laugh, laugh at","Verb: 3rd Conjugation -ō","Emotions","874"
"rīpa -ae f.","bank of a river","Noun: 1st Declension","Earth and Water","662"
"rogō -āre","ask","Verb: 1st Conjugation","Speech/Oratory","551"
"rumpō rumpere rūpī ruptum","break, rupture","Verb: 3rd Conjugation -ō","Violence","480"
"rūrsus","back, again","Adverb","Place","440"
"rūs rūris n.","country","Noun: 3rd Declension","Geography","879"
"sacer sacra sacrum","holy, sacred","Adjective: 1st and 2nd Declension","Religion","398"
"sacerdōs -dōtis m./f.","priest, priestess","Noun: 3rd Declension","Religion","939"
"saeculum -ī n.","generation, age, century","Noun: 2nd Declension","Lengths of Time","776"
"saepe","often","Adverb","Time","145"
"saevus -a -um","fierce, raging, wrathful","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","244"
"salūs -ūtis f.","health, safety","Noun: 3rd Declension","Life and Being","549"
"sānctus -a -um","sacred, inviolable","Adjective: 1st and 2nd Declension","Religion","659"
"sanguis -inis m.","blood","Noun: 3rd Declension","The Body","214"
"sānus -a -um","sound, sane","Adjective: 1st and 2nd Declension","Life and Being","946"
"sapiēns -ntis","wise; (as subst.) wise man, sage, philosopher","Adjective: 3rd Declension","Education/Knowledge","453"
"sapientia -ae f.","wisdom","Noun: 1st Declension","Education/Knowledge","797"
"satis, sat","enough, sufficient, sufficiently","Adverb","Measurement","341"
"saxum -ī n.","rock, cliff, crag","Noun: 2nd Declension","Earth and Water","306"
"scelus -eris n.","crime, sin","Noun: 3rd Declension","Justice","154"
"scientia -ae f.","knowledge","Noun: 1st Declension","Education/Knowledge","971"
"scīlicet","certainly, of course","Adverb","Conjunctions/Adverbs","889"
"sciō -īre -īvī/-iī -ītum","know","Verb: 4th Conjugation","Education/Knowledge","172"
"scrībō scrībere scrīpsī scrīptum","write","Verb: 3rd Conjugation -ō","Writing/Poetry","568"
"secundus -a -um","following; favorable; (as numeral) second","Adjective: 1st and 2nd Declension","Measurement","836"
"sēcūrus -a -um","free from care, tranquil; careless","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","697"
"sed","but","Conjunction","Conjunctions/Adverbs","20"
"sedeō sedēre sēdī sessum","sit","Verb: 2nd Conjugation","The House","506"
"sēdēs -is f.","seat, abode, habitation","Noun: 3rd Declension","The House","403"
"semel","once","Adverb","Time","789"
"semper","always, ever","Adverb","Time","149"
"senātus -ūs m.","senate","Noun: 4th Declension","The City","329"
"senex -is m.","old man, elder; senior, older","Noun: 3rd Declension","People","558"
"sēnsus -ūs m.","feeling, emotion, sense","Noun: 4th Declension","Emotions","793"
"sententia -ae f.","opinion, judgment","Noun: 1st Declension","Education/Knowledge","586"
"sentiō sentīre sēnsī sēnsum","perceive, feel, hear, see","Verb: 4th Conjugation","Other Senses","302"
"sepulcrum -ī n.","place of burial, tomb, grave","Noun: 2nd Declension","Life and Being","949"
"sequor sequī secūtus sum","follow","Verb: Deponent","Motion","108"
"sermō -ōnis m.","conversation, discourse","Noun: 3rd Declension","Speech/Oratory","575"
"serviō -īre","be a slave, serve (+ dat.)","Verb: 4th Conjugation","The Household","883"
"servō -āre","save, watch over","Verb: 1st Conjugation","The Household","289"
"servus -ī m.","slave","Noun: 2nd Declension","The Household","496"
"seu","whether; seu ... seu: whether ... or → sīve","Conjunction","Conjunctions/Adverbs","343"
"sī","if","Conjunction","Conjunctions/Adverbs","16"
"sīc","in this manner, thus; sīc ... ut: in the same way as","Adverb","Conjunctions/Adverbs","79"
"sīcut","just as","Adverb","Conjunctions/Adverbs","791"
"sīdus -eris n.","star, constellation","Noun: 3rd Declension","Air and Fire","359"
"sīgnum -ī n.","sign, standard, mark","Noun: 2nd Declension","War and Peace","261"
"silva -ae f.","forest, grove","Noun: 1st Declension","Animals/Plants","234"
"similis -e","like, similar","Adjective: 3rd Declension","Personality Traits/Characteristics","414"
"simul","at the same time","Adverb","Time","274"
"sine","without (+ abl.)","Preposition","Non-Directional Prepositions","104"
"singulī -ae -a","one each","Adjective: 1st and 2nd Declension","Measurement","507"
"sinō sinere sīvī situm","allow, let go","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","717"
"sinus -ūs m.","fold of a garment; lap, bay, gulf","Noun: 4th Declension","Earth and Water","478"
"sīve","whether; sīve ... sīve: whether ... or → seu","Conjunction","Conjunctions/Adverbs","362"
"socius -a -um","friendly, allied; socius -ī m.: partner, comrade","Adjective: 1st and 2nd Declension","Social Life","372"
"sōl sōlis m.","sun","Noun: 3rd Declension","Air and Fire","320"
"soleō -ēre -uī -itum","be accustomed","Verb: 2nd Conjugation","Personality Traits/Characteristics","246"
"sōlum","only, merely","Adverb","Measurement","897"
"solvō solvere solvī solūtum","release, set sail","Verb: 2nd Conjugation","Travel","325"
"sōlus -a -um","only, alone","Adjective: 1st and 2nd Declension","Measurement","176"
"somnus -ī m.","sleep, slumber; (pl.) dreams","Noun: 2nd Declension","Life and Being","438"
"pontus -ī m.","the open sea, the deep","Noun: 2nd Declension","Earth and Water","630"
"populus -ī m.","people","Noun: 2nd Declension","The City","122"
"porta -ae f.","gate","Noun: 1st Declension","The City","759"
"portō -āre","carry a load","Verb: 1st Conjugation","Measurement","853"
"pōscō pōscere popōscī","demand, claim; inquire into","Verb: 3rd Conjugation -ō","Speech/Oratory","487"
"possum posse potuī","be able","Verb: Irregular","Making/Doing","23"
"post","after (adv. and prep. +acc.)","Preposition","Time","164"
"posteā","afterwards","Adverb","Time","964"
"posterus -a -um","next, later","Adjective: 1st and 2nd Declension","Time","877"
"postquam","after","Conjunction","Time","384"
"potēns potentis","able, powerful","Adjective: 3rd Declension","Personality Traits/Characteristics","567"
"potestās -ātis f.","power","Noun: 3rd Declension","The City","737"
"potis -e","powerful, able","Adjective: 3rd Declension","Personality Traits/Characteristics","947"
"praebeō -ēre -uī -itum","furnish, supply, render","Verb: 2nd Conjugation","Verbs of Transport","584"
"praeceptum -ī n.","rule, precept; command","Noun: 2nd Declension","Justice","825"
"praecipiō -cipere -cēpī -ceptum","anticipate, advise, warn","Verb: 3rd Conjugation -iō","Speech/Oratory","945"
"praeda -ae f.","booty, prey","Noun: 1st Declension","War and Peace","626"
"praemium -ī n.","bounty, reward","Noun: 2nd Declension","Business/Money","680"
"praesēns -ntis","present, in person, ready","Adjective: 3rd Declension","Place","822"
"praesidium -ī n.","garrison, protection","Noun: 2nd Declension","War and Peace","582"
"praestō -stāre -stitī -stitum","excel, exhibit","Verb: 1st Conjugation","Other Senses","423"
"praeter","by, along, past; besides, except (+ acc.)","Preposition","Place","756"
"praetereā","besides, moreover","Adverb","Conjunctions/Adverbs","681"
"praetor -ōris m.","praetor, one of the chief Roman magistrates","Noun: 3rd Declension","The City","878"
"precor -ārī","pray, invoke","Verb: Deponent","Religion","492"
"premō premere pressī pressum","press, pursue, overwhelm","Verb: 3rd Conjugation -ō","War and Peace","240"
"pretium -ī n.","price, worth, reward; pretium operae: a reward for trouble","Noun: 2nd Declension","Business/Money","629"
"prex precis f.","prayers, entreaties","Noun: 3rd Declension","Religion","520"
"prīmum","at first, firstly","Adverb","Time","252"
"prīmus -a -um","first","Adjective: 1st and 2nd Declension","Time","91"
"prīnceps -cipis","first, chief; (as subst.) leader, person in charge","Adjective: 3rd Declension","The City","317"
"prīncipium -ī n.","beginning","Noun: 2nd Declension","Time","948"
"prior prius","earlier, preceding","Adjective: 3rd Declension","Time","526"
"prīvātus -a -um","personal, private","Adjective: 1st and 2nd Declension","Social Life","882"
"prius or priusquam","before","Adverb","Time","484"
"prō","for, on behalf of, in proportion to (+abl.)","Preposition","Non-Directional Prepositions","128"
"probō -āre","approve, prove; convince one (dat.) of a thing (acc.)","Verb: 1st Conjugation","Verbs of Compelling/Directing","784"
"prōcēdō -cēdere -cessī -cessum","go forth, advance","Verb: 3rd Conjugation -ō","Motion","746"
"procul","at a distance","Adverb","Place","397"
"prōdō prōdere prōdidī prōditum","publish, hand down; give over, betray","Verb: 3rd Conjugation -ō","Verbs of Transport","929"
"proelium -ī n.","battle","Noun: 2nd Declension","War and Peace","348"
"proficīscor -ficīscī -fectus sum","set forth, go","Verb: Deponent","Travel","835"
"prohibeō -ēre -uī -itum","restrain, keep away","Verb: 2nd Conjugation","Verbs of Compelling/Directing","604"
"prōmittō -mittere -mīsī -missum","send forth, offer","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","720"
"prope","near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost","Preposition","Place","189"
"properō -āre","hasten, speed","Verb: 1st Conjugation","Motion","537"
"prōpōnō -pōnere -posuī -positum","put forth, propose, present","Verb: 3rd Conjugation -ō","Speech/Oratory","930"
"proprius -a -um","one’s own, peculiar","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","854"
"propter","because of (+ acc.)","Preposition","Non-Directional Prepositions","560"
"prōsum prodesse profuī","be of use, do good, help (+ dat.)","Verb: Irregular","Social Life","373"
"prōtinus","at once, forthwith","Adverb","Time","903"
"prōvincia -ae f.","province; official duty","Noun: 1st Declension","The City","620"
"pūblicus -a -um","public, belonging to the state","Adjective: 1st and 2nd Declension","The City","517"
"pudor pudōris m.","sense of shame, modesty, propriety","Noun: 3rd Declension","Personality Traits/Characteristics","616"
"puella -ae f.","girl; girl-friend","Noun: 1st Declension","People","233"
"puer puerī m.","boy; slave","Noun: 2nd Declension","People","191"
"pūgna -ae f.","fist-fight; battle","Noun: 1st Declension","Violence","650"
"pugnō -āre","fight","Verb: 1st Conjugation","Violence","708"
"pulcher -chra -chrum","beautiful","Adjective: 1st and 2nd Declension","Vision","569"
"putō -āre","think, suppose","Verb: 1st Conjugation","Education/Knowledge","166"
"quā","where, how","Pronoun","Pronouns/Interrogatives","336"
"quaerō -rere -sīvī -sītum","seek, inquire","Verb: 3rd Conjugation -ō","Education/Knowledge","113"
"quālis -e","of what kind? what?","Pronoun","Pronouns/Interrogatives","263"
"quam","how?; (after comparative) than","Adverb","Pronouns/Interrogatives","29"
"quamquam","however, although","Conjunction","Conjunctions/Adverbs","644"
"quamvīs","however you like; although","Adverb","Conjunctions/Adverbs","489"
"quandō","when?; since; sī quandō: if ever","Adverb","Pronouns/Interrogatives","621"
"quantum","(adv.) how much? how greatly? how much! how greatly! as much as","Adverb","Pronouns/Interrogatives","557"
"quantus -a -um","(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price","Pronoun","Pronouns/Interrogatives","311"
"quārē","how? why?","Adverb","Pronouns/Interrogatives","786"
"quasi","as if","Adverb","Conjunctions/Adverbs","938"
"quattuor","four","Adjective: Numeral","Measurement","867"
"que","and (postpositive enclitic)","Conjunction","Conjunctions/Adverbs","4"
"quemadmodum","in what manner, how","Adverb","Pronouns/Interrogatives","531"
"queror querī questus sum","complain of, lament","Verb: Deponent","Emotions","518"
"quī quae quod","who, which, what","Pronoun","Pronouns/Interrogatives","3"
"quia","because","Conjunction","Conjunctions/Adverbs","132"
"quīcumque quaecumque quodcumque","who-, whatever","Pronoun","Pronouns/Interrogatives","284"
"quīdam quaedam quoddam","a certain one, someone","Pronoun","Pronouns/Interrogatives","126"
"quidem","certainly, at least","Adverb","Conjunctions/Adverbs","136"
"quiēscō quiēscere quiēvī quiētum","keep quiet; sleep","Verb: 3rd Conjugation -ō","Life and Being","969"
"quīn","(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)","Adverb","Conjunctions/Adverbs","456"
"quīppe","(adv.) indeed, surely","Adverb","Conjunctions/Adverbs","499"
"quisquam quicquam/quidquam","any (single) person, anyone at all","Pronoun","Pronouns/Interrogatives","12"
"quis quid","who? what? which?","Pronoun","Pronouns/Interrogatives","212"
"quisque quaeque quidque","each one, everyone","Pronoun","Pronouns/Interrogatives","197"
"nihil, nīl","nothing; not at all","Noun: Indeclinable","Measurement","55"
"nimis or nimium","excessively","Adverb","Personality Traits/Characteristics","841"
"nimius -a -um","too much, excessive","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","502"
"nōbilis -e","distinguished, noble; (as subst.) a nobleman or woman","Adjective: 3rd Declension","Personality Traits/Characteristics","455"
"noceō nocēre nocuī","harm","Verb: 2nd Conjugation","Violence","509"
"nōlō nōlle nōluī","be unwilling","Verb: Irregular","Emotions","458"
"nōmen -inis n.","name","Noun: 3rd Declension","Social Life","135"
"nōn","not","Adverb","Conjunctions/Adverbs","6"
"nōndum","not yet","Adverb","Conjunctions/Adverbs","436"
"nōs nostrum/nostrī nōbīs nōs","we","Pronoun","Pronouns/Interrogatives","51"
