id	gloss	lemma_id
313	cunningly, in a workmanlike manner	841
314	satisfactorily, sufficiently, abundantly	842
315	an accosting, speaking to	843
316	a claiming	844
317	a relation, disposition	845
318	furnished, supplied, endowed, provided, gifted	846
319	a state	847
320	to fasten, attach, affix, annex	848
321	to form as an addition, make besides, attach, affix, append	849
322	 adjoining, bordering on	850
323	 a connection by marriage	851
324	P. of adfirmo	852
325	with solemn assurance	853
326	an affirmation, asseveration, solemn assurance	854
327	to strengthen.--Fig., to confirm, encourage	855
328	joined, attached	856
329	a blowing on, breeze, blast, breath	857
330	flowing, abounding, abundant, rich, copious, affluent, numerous, plentiful	858
331	lavishly, abundantly	859
332	a flowing to	860
333	 to shine upon, beam, glitter, appear bright, be radiant	861
334	to pour into, administer	862
335	P. of adsum	863
336	to cleave, adhere, stick to	872
337	to cleave, stick, adhere	873
338	 an adhering, clinging (once)	875
339	to hold toward, turn to, apply, add to	879
340	an encouragement, exhortation	885
341	one who encourages	887
342	to encourage, exhort, stimulate, rouse, urge	890
343	until now, as yet	892
344	to lie at, lie near, adjoin, border upon, touch, bound	897
345	to throw to, cast to, fling at, put, put to, set near	899
346	an annexation, addition	902
347	to drive, urge, bring by force, take	906
348	to throw to, cast to, fling at, put, put to, set near	907
349	to take away, take from, deprive of	908
350	fat, greasy	926
351	to come up with, arrive at, reach, overtake	928
352	a going to, drawing near, approach, access	939
353	to make a judicial award, grant, award, adjudge	942
354	a means of helping, help, aid, support, assistance	944
355	a joining, union, conjunction	946
356	he who adds	948
357	closely connected, joined, united	949
358	to fasten on, join to, harness	950
359	to swear to in addition, attest besides, add to an oath	956
360	to help zealously, serve, aid, assist	958
361	a helper, assistant, confederate	959
362	she that helps, a female assistant	961
363	P. of adiuvo	962
364	to help, assist, aid, support, further, sustain	964
365	 to glide towards, flow, glide, slide	965
366	to labor, toil	966
367	to shed tears thereat, weep (once)	967
368	a gliding up to, stealthy approach	971
369	to bark at. --Fig., to rail at, revile	972
370	PP. of adfero	973
371	to allure, entice	976
372	a sending, despatching	977
373	to select, choose, elect	979
374	a mitigation, relief	980
375	an alleviation	981
376	to lift up, raise, set up	982
377	to allure, entice, attract, persuade, influence	985
378	to strike upon, dash against	986
379	to besmear	989
380	P. of adlido	993
381	a consoling, comforting	994
382	P. of adloquor	995
383	an exhortation, encouragement	996
384	to flow near to, wash against, bathe	1001
385	an inundation	1003
386	an inundation	1004
387	to mature (once)	1005
388	 to measure out	1007
389	to prop	1012
390	a stake, prop	1014
391	 one who is at hand to help, an assistant, minister, helper	1016
392	a female assistant, handmaid	1017
393	aid, help, co-operation	1018
394	a manager, conductor	1021
395	to manage, control, guide, superintend, execute, regulate, rule, direct	1023
396	admirable, wonderful	1025
397	admirableness	1026
398	wonderfully, admirably	1027
399	to be wondered at, admirable, wonderful	1028
400	admiration, wonder	1029
401	an admirer	1030
402	 to regard with wonder, admire	1032
403	 to add so as to form a mixture, mix with, admix	1033
404	a stallion	1034
405	a voluntary fault, trespass, crime	1038
406	P. of admitto	1040
407	 to send to, let go, let loose, let come, admit, give access	1041
408	a mingling	1042
409	P. of admisceo	1043
411	 to bring hither	1049
412	to bring to mind, remind, suggest, put in mind of	1050
413	a suggestion, reminding	1051
414	an admonisher, exhorter	1052
415	a reminding, warning	1055
416	a reminding, suggestion, request	1056
417	bitten, gnawed	1059
418	an application	1060
419	 to move to, move towards, bring up, bring near, carry, conduct, drive	1061
420	to low to, bellow to	1062
421	a murmuring, murmur	1063
422	to murmur, murmur at	1064
423	to swim up	1068
424	to tie to, bind to, fasten on, attach, annex	1070
425	a connection, association	1074
426	P. of adnitor	1076
427	P. of adnitor	1078
428	to swim to, swim up to	1079
429	to observe, remark	1082
430	to add, join, count among	1083
431	to announce, make known	1084
432	to turn to vapor	1091
433	grow up	1092
434	to burn, blaze up, flame	1093
435	 a youth beloved by Venus, V	1096
436	to cover, cover over	1099
437	an adopting, adoption	1105
438	a taking as a child, adoption	1107
439	of adoption	1108
440	to take by choice, select, choose, adopt	1109
441	 a grain, spelt, H	1110
442	a prize of valor	1116
443	of spelt	1118
444	 to approach as an enemy, fall upon, assail, assault, attack	1120
445	to provide, furnish, fit out, equip, make ready	1123
446	to call upon, entreat, supplicate, implore	1124
447	to become quiet, come to rest	1158
448	to scrape, cut short, shave	1161
449	upright, erect, standing	1172
450	to creep to, steal up	1175
451	to snatch, catch hurriedly, grasp, seize	1179
452	a smile of approval	1180
453	to nibble at, gnaw	1181
454	a follower, attendant	1190
455	a waiting on, attendance	1192
456	a client, follower	1193
457	 to wait upon, follow	1194
458	a follower, sycophant	1195
459	an assent, agreement, approval	1198
460	 one who agrees	1199
461	one who claims	1201
462	to help, assist, strengthen (once)	1202
463	to watch over, keep, preserve, guard	1203
464	a sitting near	1204
465	an assistant, aid	1205
466	a sitting by	1206
467	earnestly, emphatically	1207
468	a vehement assertion, protestation	1208
469	to affirm, insist on, maintain, assert, aver	1209
470	to take a seat, sit down, resume one’s seat	1213
471	an assigning, allotting	1214
472	to mark out, allot, assign, award	1216
473	to leap at, spring upon	1218
474	 like, similar	1219
475	 a feigned assent, Her	1220
476	feigned, pretended, fictitious	1221
477	to make like, liken, compare	1222
478	to be accustomed, be wont, be usual	1224
479	to resound, respond	1228
480	to leap at, attack, assault	1244
481	an attack, assault	1245
482	to be present	1246
483	to take to oneself, receive	1247
484	acceptance, adoption	1248
485	extraneous, extrinsic	1249
486	to sew on, patch	1250
487	to rise up, rise, stand up	1252
488	see adulor	1258
489	a fawning	1260
490	a sycophant, Her	1261
491	 flattering	1262
492	young	1264
493	young person, young man, young woman	1264
494	youth	1265
495	a young maiden, little girl	1267
496	a very young man	1268
497	to fawn upon	1270
498	 to fawn	1271
499	adulterous, unchaste	1272
500	false, forged, counterfeit	1277
501	adultery	1279
502	to commit adultery, C	1280
503	grown up, mature, adult, ripe	1281
504	a sketch, outline	1283
505	sketched, shadowed, in outline	1284
506	to sketch in shadow, outline, represent vaguely	1285
507	hookedness	1287
508	 bent inwards, hooked	1288
509	to pursue closely	1291
510	to set on fire, kindle, scorch, parch, burn, singe	1292
511	Poet., all the way to, as far as	1293
512	sunburnt, brown	1296
513	imported	1300
514	to keep bringing, import continually	1302
515	a bringing hither	1304
516	to bring hither, carry to, conduct	1305
517	to veil, wreathe	1306
518	a stranger, foreigner, immigrant	1307
519	to come to, reach, arrive at	1310
520	foreign, strange, accidental	1311
521	to advance, press forward, march on, approach	1312
522	a coming, approach, arrival	1316
523	opposite, hostile, contrary	1325
524	an opponent	1329
525	direction, employment	1331
526	to resist, withstand, oppose	1335
527	opposite to, against, toward, facing, compared to [adv. and prep. + acc.]	1336
528	 the opposite direction	1337
529	misfortune, calamity, disaster	1338
530	turned towards, fronting, facing, before, in front	1339
531	 an enemy, opponent	1340
532	opposite to, against, toward, facing, compared to [adv. and prep. + acc.]	1341
533	to turn toward	1342
534	impers, it approaches evening, is twilight	1343
535	to watch, be watchful	1345
536	one called to aid, a supporter	1348
537	a summoning as counsel	1349
538	one called to aid	1351
539	to call, summon, invite	1352
540	an approach by flying	1353
541	to fly to, fly towards	1355
542	to roll to, roll towards, bring by rolling	1357
543	Usu. plur, the inmost recess, holiest place	1359
544	building; house; temple	1376
545	 see aedis	1377
546	dim. (aedes), a small temple, chapel, niche	1379
547	the process of building	1380
548	a little building	1381
549	a builder	1382
550	a building, edifice, structure	1386
551	to build, erect a building	1387
552	of an aedile	1389
553	a commissioner of buildings, aedile, magistrate for public works	1390
554	the office of an aedile, aedileship	1391
555	dwelling of the gods, temple, sanctuary	1392
556	 old for aedituus	1393
557	a custodian of a temple, sacristan	1398
558	 Aegean	1410
559	painfully, distressingly; with difficulty; unwillingly; hardly	1413
560	unwell, ill, sick, diseased, suffering, feeble	1413
561	 the shield of Jupiter, with the head of Medusa borne by Minerva, V., H. A shield, defence, O	1430
562	painfully, distressingly	1444
563	to fall sick	1446
564	anxiety, trouble	1447
565	sickness, grief, affliction, melancholy	1449
566	sickness, disease	1452
567	to be sick, languish, pine	1453
568	sick, diseased	1454
569	 Egyptian	1459
570	 a dirge, O	1466
571	rivalry, emulation, competition	1475
572	a zealous imitator	1476
573	 rivalry, jealousy	1478
574	to rival, vie with, emulate, strive to excel	1480
575	striving earnestly after, emulating, rivalling, vying with, emulous	1481
576	A Trojan chief and hero of the Aeneid	1485
577	of Aeneas	1490
578	of copper, of bronze	1493
579	 a figure, allegory	1496
580	bronze-footed	1500
581	of copper, of bronze	1506
582	 Of Aeolus, the god of the winds	1515
583	like, similar, equal, uniform	1518
584	equality, uniformity, evenness	1519
585	equally	1520
586	of equal age	1521
587	equal, like, even, on a par	1522
588	equality, similarity, likeness	1523
589	evenly, equably	1524
590	good-will, kindness	1528
591	an equal distribution, community	1531
592	level, levelled, even	1532
593	equally, in like manner, just as, in an equal degree, to the same extent	1533
594	equipoise	1546
595	equinoctial	1550
596	the equinox	1551
597	to compare, liken	1558
598	uniformity, evenness	1561
599	to make equal, equalize	1567
600	even surface, level; (surface of the) sea	1568
601	of the sea, marine	1569
602	 a plain, level	1570
603	equal; level; fair	1571
604	equally	1571
605	air	1572
606	a mine	1575
607	part of the temple of Saturn at Rome, in which the public treasure was kept, the treasury	1576
608	of copper, of bronze, made of copper	1577
609	 a resident who pays a polltax, but cannot vote nor hold office	1578
610	of bronze	1579
611	of copper, of bronze	1581
612	with feet of bronze	1585
613	of the air, aerial, high, heavenly	1587
614	rust of copper, verdigris	1598
615	toil, hardship, distress, trouble, tribulation	1599
616	 full of trouble, miserable, wretched, distressed	1601
617	bronze, copper	1605
618	a forest of oaks	1620
619	of the oak	1621
620	 the Italian oak (with edible acorns)	1623
621	Aesopian	1634
622	 summer	1636
623	 heat-bringing, causing heat	1637
624	worthy of esteem	1639
625	the determination of value, value, valuation, appraisement	1640
626	one who values, an appraiser	1641
627	to determine the value of, estimate, value, rate, appraise	1647
628	a summer camp, summer resort	1648
629	of summer, as in summer, summer-like, summer	1651
630	a tract overflowed at high tide, salt marsh	1653
631	to rage, burn	1655
632	glowingly, hotly	1656
633	burning hot, glowing	1657
634	an agitation, glow, heat, rage of fire	1658
635	age, lifetime	1661
636	a tender age	1662
637	eternity, endlessness, immortality	1666
638	to perpetuate, immortalize	1667
639	 see aeternus	1668
640	lasting, eternal	1669
641	sky, ether	1671
642	 of the upper air, heavenly, ethereal, celestial	1672
643	 an Ethiopian, negro	1677
644	 the ether, sky, air	1680
645	age, time of life	1696
646	neverending time, eternity	1698
647	 African	1702
648	to strive after, strive to obtain, aspire to, pursue, aim at	1717
649	to bring	1721
650	to do to, treat, use, manage, handle	1724
651	relationship by marriage	1731
652	physical pain, torture	1746
653	to break to pieces, destroy, shatter, damage, injure	1749
654	one who strikes down	1750
655	cast down, miserable, unfortunate, overthrown, wretched, distressed	1751
656	to dash at, strike upon, throw down, overthrow, afflict	1752
657	to blow on, breathe upon	1753
658	to flow to, flow towards, flow by	1756
659	In gen., to speak to, say to, address, accost	1758
660	Libya, the Carthaginian territory	1781
661	of Africa, African	1783
662	African (poet. for Africanus); the south-west wind	1785
663	 a driver, hostler	1797
664	imper. of ago, freq. as interj, come, go to; see ago	1806
665	a very small field	1810
666	a small estate, little field	1811
667	 the flower of the (Macedonian) cavalry	1812
668	 a king of Phoenicia	1815
669	effective, powerful	1818
670	field	1819
671	to groan at, lament over (poet.)	1825
672	a mass, heap, collection, pile; rampart	1827
673	to make a mound of, heap up, pile	1831
674	 a bringing in, collecting	1835
675	to wind on, add by winding	1836
676	to glue to, stick on, fig	1837
677	to increase in weight, grow violent	1838
678	to make heavy	1839
679	to approach, attack	1840
680	to add to a flock, bring together in a flock	1841
681	an assault	1842
682	P. of aggredior	1845
683	nimble, quick, agile, lively, prompt	1846
684	nimbleness, activity, quickness	1847
685	easily moved, light	1853
686	movement, motion, agitation	1854
687	a driver	1855
688	imper. plur. of ago	1858
689	to set in motion, move, excite, assail; to consider, ponder, deliberate	1859
690	that which is driven, line of march	1866
691	a ewe lamb	1869
692	see Agonalia	1870
693	to be born in addition (i. e. after a father’s will was made)	1871
694	consanguinity on the father’s side	1873
695	a relation on the father’s side	1874
696	the flesh of a lamb, lamb	1878
697	a knowing, knowledge	1880
698	to recognize, identify, make out	1888
699	a lamb	1889
700	to do, drive	1890
701	 of the festival Agonalia (in honor of Janus, on Jan. 9th)	1895
702	 a victim, beast for sacrifice	1901
703	(sc. lex), an agrarian law	1909
704	 the agrarian party, supporters of agrarian laws	1910
705	pertaining to land	1911
706	of the fields, belonging to the country	1913
707	 a countryman, peasant, rustic	1914
709	a colonist, one who seeks land to cultivate	1929
710	an epithet of Apollo, as guardian of streets	1937
711	interj. --Of distress or pity, ah! alas! H. Of reproach or admonition, ah! oh! V. Of surprise, Oh! I see! H	1942
712	interj, alas, only O. (once)	1950
713	to say; to affirm	1955
714	the speaker	1961
715	a wing; armpit	1963
716	lively, brisk, quick, eager, excited, glad, happy	1975
717	liveliness, ardor, eagerness, alacrity, cheerfulness, encouragement	1977
718	 a box on the ear, blow with the open hand	1983
719	of the wing	1986
720	of the wing	1987
721	winged, having wings	1992
722	a soldier of the legion	1993
724	pertaining to Alba; Alban	2001
725	white - robed, clothed in white	2004
726	whitening, white	2006
727	to be white	2007
728	 to become white, whiten	2009
729	to be white	2016
730	whitish, white	2019
731	old name of the Tiber	2038
732	whitish	2040
733	white color, whiteness	2041
734	white	2047
735	 the elk	2057
736	 a descendant of Alceus; esp. his grandson Hercules	2062
737	 a king of the Phaeacians	2066
738	king-fisher	2074
739	 a game with dice	2078
740	a player with dice, gamester	2081
741	of a gamester	2083
742	 one of the three furies	2085
743	 a gamester	2097
744	winged; bird	2099
745	 sea-weed, H. --Prov. of worthlessness	2123
746	to be cold, feel cold	2125
747	to catch cold	2126
748	cold	2129
749	cold, chilliness	2131
750	at another time	2135
751	 elsewhere, somewhere else, at another place (cf. alio loco)	2136
752	at any place, somewhere, anywhere	2143
753	from somewhere, from any place	2145
754	a transfer, surrender	2147
755	P. of alieno	2148
756	one born in a foreign land, an alien	2149
757	to make strange, make another’s, transfer, make over, part with	2153
758	 see alienus	2154
759	 the property of a stranger, another’s possessions	2155
760	another’s; foreign; strange	2156
761	stranger; foreigner	2156
762	 one of another house, a stranger to the family, foreigner, alien	2157
763	bearing wings, winged	2159
764	 pertaining to nourishment lex, for distributing food among the poor	2161
765	nourishment, nutriment, aliment	2162
766	 nourishment, sustenance, Ta	2165
767	to another place, to another, elsewhere	2166
768	 in another way, in other respects, for the rest, otherwise	2167
769	in another direction, in another manner, in a different sense	2168
770	with wings on the feet, wing-footed	2169
771	 one who anointed wrestlers, a wrestling-master	2172
772	 by any way, in any direction, any whither	2173
773	in some degree, somewhat, pretty, moderately, to a degree	2174
774	at some time / other, once; at any time, ever	2176
775	 for a moderate period, a while, for a time, for some time	2178
776	by some little, in a degree, somewhat, rather	2179
777	 a little, trifle	2182
778	a little, some, a considerable amount, something	2184
779	 somewhat, in some degree, considerably, not a little	2185
780	 of an indefinite quantity, some, considerable, moderate	2186
781	some, any	2188
782	somewhat, in something, in anything, at all, in some degree, to some extent	2189
783	someone, anyone, something, anything	2190
784	to some place, somewhere, anywhither	2191
785	 some, several, a few, not many, a number	2192
786	several times, at different times	2194
787	 alid, old for alius	2197
788	in another way, differently	2202
789	 garlic	2206
790	from another, from another source, from elsewhere	2207
791	other, another	2208
792	 to glide towards, flow, glide, slide	2210
793	 a fish sauce, H	2218
794	of the river Allia	2244
795	of Allifae (a town of Samnium)	2249
796	to bind to, tie to	2254
797	 one of the Allobroges, a warlike people of Gaul	2261
798	 to speak to, address, salute, greet	2265
799	to play, sport, joke, jest, do sportively	2271
800	nourishing, fruitful, foodgiving	2279
801	the alder	2281
802	to nourish, support	2282
803	 the aloe	2284
804	 the first letter of the Greek alphabet	2294
805	of the Alps, Alpine	2301
806	cool, chilly	2307
807	a high altar, altar for sacrifice to the great gods	2309
808	high, on high, from above, loftily	2310
809	the other (of two)	2312
810	a debate, discussion, alternate discourse	2315
811	to wrangle	2317
812	to alternate in discussion, dispute, wrangle	2318
813	alternately, by turns	2324
814	to do by turns, interchange	2325
815	one after the other, alternate, in turn, reciprocal	2326
816	 one or the other, either this or that, one of two	2327
817	high-girded	2329
818	fattened, fat	2334
819	of lofty sound	2341
820	high-thundering	2343
821	height, altitude	2345
822	high-flying, soaring	2347
823	a nourisher, sustainer, foster-father	2350
824	a foster-mother, cherisher, sustainer	2352
825	height	2354
826	deeply	2355
827	high, tall; deep	2356
828	nourishing, support	2357
829	 to wander in mind, talk unreasonably, ramble in thought	2360
830	a plant, comfrey, symphytum officinale; a kind of garlic	2362
831	a foster-daughter, pupil	2366
832	a foster-son, ward, nursling	2368
833	a plant, comfrey, symphytum officinale; a kind of garlic	2373
834	 a soft leather prepared with alum	2374
835	 a beehive	2378
836	a tray, trough, basin	2381
837	a hollow, cavity, excavation	2382
838	the belly, paunch, bowels, womb	2383
839	 a king of Lydia, father of Croesus	2384
840	worthy of love, lovely, amiable, attractive	2391
841	lovingly, pleasantly, delightfully	2393
842	a sending away	2397
843	to send away, remove	2398
844	pleasing	2399
845	lover	2403
846	lovingly, affectionately, amiably	2404
847	 marjoram	2415
848	the amaranth	2416
849	 bitterness	2421
850	bitterness	2423
851	 bitter, pungent	2425
852	 a shepherdess, V	2426
853	a beloved woman	2441
854	 Venus (worshipped at Amathus in Cyprus), Ct., O	2443
855	a lover, friend	2445
856	amorously	2447
857	loving, amorous, amatory	2449
858	P. of amo	2452
859	an Amazon. Plur., Amazons, a tribe of warlike women on the river Thermodon	2453
860	 an Amazon, V	2455
861	 Amazonian	2456
862	 around, round about, only in composition	2457
863	a vassal, dependant	2458
864	(a going around); circumlocution, obscurity, digression	2459
865	to eat around, waste, consume	2466
866	to go about, go around, avoid	2474
867	equivocally, doubtfully	2475
868	ambiguity, equivocalness, double sense	2476
869	going two ways, wavering, uncertain	2477
870	to go round, go about	2478
871	 a chief of the Eburones, Cs	2479
